document_family,document_title,release,source_file,line_number,section,message_id,message_name,message_version,page,direction,source_line
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,81,1.6.18,0640,EM Banner Display,2,63,energy_management_to_ptc,1.6.18 EM Banner Display (0640) - Version 2 ................................................................................................................................................................ 63
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,82,1.6.19,0641,EM Soft-Key Text,2,68,energy_management_to_ptc,1.6.19 EM Soft-Key Text (0641) - Version 2 .................................................................................................................................................................... 68
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,83,1.6.20,0642,EM Control Indicator,3,69,energy_management_to_ptc,1.6.20 EM Control Indicator (0642) - Version 3 ............................................................................................................................................................. 69
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,84,1.6.21,0644,ITF/BCP Overlay Display,1,70,energy_management_to_ptc,1.6.21 ITF/BCP Overlay Display (0644) - Version 1 ...................................................................................................................................................... 70
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,40,1.5.1,0500,PTC Status Data,5,9,ptc_to_energy_management,1.5.1 PTC Status Data (0500) - Version 5 ....................................................................................................................................................................... 9
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,41,1.5.2,0501,EM Access Screen Status,2,13,ptc_to_energy_management,1.5.2 EM Access Screen Status (0501) - Version 2 ........................................................................................................................................................ 13
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,42,1.5.3,0504,OPK Encryption Key,1,14,ptc_to_energy_management,1.5.3 OPK Encryption Key (0504) - Version 1 .............................................................................................................................................................. 14
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,43,1.5.4,0505,Operational Private Key,3,15,ptc_to_energy_management,1.5.4 Operational Private Key (0505) - Version 3 ......................................................................................................................................................... 15
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,44,1.5.5,0506,Railroad Office Addresses,2,16,ptc_to_energy_management,1.5.5 Railroad Office Addresses (0506) - Version 2 ..................................................................................................................................................... 16
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,45,1.5.6,0510,Track Database Information,3,17,ptc_to_energy_management,1.5.6 Track Database Information (0510) - Version 3 .................................................................................................................................................. 17
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,46,1.5.7,0511,Track Clear,3,18,ptc_to_energy_management,1.5.7 Track Clear (0511) - Version 3 ............................................................................................................................................................................. 18
