document_family,document_title,release,source_file,heading_line_number,section,detail_code,message_id,toc_message_name,toc_message_version,toc_page,detail_message_name,detail_message_version,direction,description,related_message_ids,functional_content_excerpt,has_functional_content,version_conflict_with_catalog,source_heading_line
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1740,1.6.15,L2I188,0632,Target List Acknowledge,1,60,Target List Acknowledge,1,energy_management_to_ptc,,,,False,False,1.6.15 L2I188 Target List Acknowledge (0632) - Version 1
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1756,1.6.16,L2I189,0633,Restriction List Request,4,61,Restriction List Request,4,energy_management_to_ptc,,"0500,0533",,False,False,1.6.16 L2I189 Restriction List Request (0633) - Version 4
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1773,1.6.17,L2I471,0634,Restriction Request,1,62,Restriction Request,1,energy_management_to_ptc,,"0533,0534",,False,False,1.6.17 L2I471 Restriction Request (0634) - Version 1
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1798,1.6.18,L2I190,0640,EM Banner Display,2,63,EM Banner Display,2,energy_management_to_ptc,,"0540,0640",,False,False,1.6.18 L2I190 EM Banner Display (0640) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1971,1.6.19,L2I191,0641,EM Soft-Key Text,2,68,EM Soft-Key Text,2,energy_management_to_ptc,,0541,,False,False,1.6.19 L2I191 EM Soft-Key Text (0641) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,1999,1.6.20,L2I349,0642,EM Control Indicator,3,69,EM Control Indicator,3,energy_management_to_ptc,,0542,,False,False,1.6.20 L2I349 EM Control Indicator (0642) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,2025,1.6.21,L2I487,0644,ITF/BCP Overlay Display,1,70,ITF/BCP Overlay Display,1,energy_management_to_ptc,,"0500,0530,0531,0532,0533,0544,0624,0632,0633",,False,False,1.6.21 L2I487 ITF/BCP Overlay Display (0644) - Version 1
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,237,1.5.1,L2I218,0500,PTC Status Data,5,9,PTC Status Data,5,ptc_to_energy_management,,"0500,0510,0520,0521,0533,0534,0633",,False,False,1.5.1 L2I218 PTC Status Data (0500) - Version 5
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,361,1.5.2,L2I160,0501,EM Access Screen Status,2,13,EM Access Screen Status,2,ptc_to_energy_management,,0601,,False,False,1.5.2 L2I160 EM Access Screen Status (0501) - Version 2
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,386,1.5.3,L2I397,0504,OPK Encryption Key,1,14,OPK Encryption Key,1,ptc_to_energy_management,,0604,,False,False,1.5.3 L2I397 OPK Encryption Key (0504) - Version 1
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,416,1.5.4,L2I161,0505,Operational Private Key,3,15,Operational Private Key,3,ptc_to_energy_management,,0605,,False,False,1.5.4 L2I161 Operational Private Key (0505) - Version 3
energy_management,PTC On-board Segment-Energy Management ICD,1.9,exports\manuals\icd\WCR-ICD-1095_PTC_On-Board_Segment_-_Energy_Management_ICD__1.9_.txt,432,1.5.5,L2I342,0506,Railroad Office Addresses,2,16,Railroad Office Addresses,2,ptc_to_energy_management,,0606,,False,False,1.5.5 L2I342 Railroad Office Addresses (0506) - Version 2
