"database","schema","table","column","ordinal","data_type","is_nullable"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","SystemUID","1","nvarchar","NO"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","RouteGUID","2","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","EntrySignal","3","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","ExitSignal","4","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","SwitchList","5","nvarchar","YES"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","TerrUID","6","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","CPUID","7","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","Priority","8","int","YES"
"tmdsDatabaseStatic","dbo","tblSystemSignalRoutes","IsEnabled","9","bit","NO"
