"table_name","row_count"
"tblBosTrainObjectData","53"
"tblCodeFunctionDefaults","0"
"tblCompSwitches","99"
"tblSystemDispatchableStations","0"
"tblSystemMessages","0"
"tblSystemSubDivisions","3"
"tblSystemTrackRoutes","0"
"tblTerritoryList","2"
"tblTrainInterfaceImportConfiguration","0"
