"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","PIND","PCTL","SIND","SCTL","TIND","TCTL","LeftLimitRange","RightLimitRange","LeftLimitMPRange","RightLimitMPRange","AuthorityType","TrkName","LeftLimitName","RightLimitName","TerritoryAssignment","Subdivision","SlottingTK","TrackLength","DeviceBlocking","FieldBlocking","FoulTime","TrackPermit","TrackTime","Traffic","FBZ","FBK","TimeZone","TrackLock","TrackLockBit","TrackUID","OSReporting","GraphicGroup","ScreenRegion","LossOfShunt","FBZ2","FBK2","ReleaseTrainIDTrack","DisallowTNTOnSplit","BlueFlag","OCS","TrackSpeeds","PassRedSignalAlertOff","Notes","SlotFieldTraffic","PTCBlockID","RefuseOpposingAuthoritiesFromLeft","RefuseOpposingAuthoritiesFromRight","AllowOpposingAuthorityCreationToLeft","AllowOpposingAuthorityCreationToRight","HoldingSignalSlottingTrack","HoldingSignalOSLeftBoundReporting","HoldingSignalOSRightBoundReporting","OverrideLeftTrafficCheck","OverrideRightTrafficCheck","TrackBlockingReferences","MatchMode","MilePostSuffix","TurnOutTrack","AltLinkThree","AltLinkFour","HAZMATAlarming","FoulingTrackSPMS","RouteName","RouteBlocking","TrackIntegrityZone","TrackIntegrityZoneUID","TrackIntegrityZoneName","TIZMonitorModeTimeOut","AuthorityConfirmationRequired","AlternateTrackNames","AlternateTrackAbbreviation","AllowMainTrackEntrance","MainTrackEntrancePoints","AllowForceOperationsToTWC","EnableAbsolutePermissiveBlock","AbsolutePermissiveBlockPTCUID","LineSegmentGroupUID","DerailmentDetectorEnabled","DerailmentDetectorIndBit","DerailmentDetectorCtlBit","DerailmentDetectorInhibited","MilepostPrefix","AdditionalReferenceUID","EnablePositionReporting","TrackNameAlias","EnableNonControlledSiding","EnableControlledSiding","DisallowLeftSignalRequestOnOccupancy","DisallowRightSignalRequestOnOccupancy","TrackSpeedAverage","TrackSpeedMaximum","TrackElevationAverage","TrackElevationMaximum","TrackElevationAscending","TrackSpeedMaximumFreight","TrackSpeedMaximumPassengar","QIND","QCTL","PTCTrackType","JointControl","TMPSEnabled","TMPSCircuitName","TMPSLinkLeft","TMPSLinkRight","TMPSLinkAlt1","TMPSLinkAlt2","TMPSLinkAlt3","TMPSLinkAlt4","LatitudeLeft","LongitudeLeft","LatitudeRight","LongitudeRight","ForceIgnoreTrainDirectionChange","SuppressAuthorityRelease","TrackWarrantEnforcementEnabled","RailroadUniqueIdentifierName","DisallowBulletin","DisallowEntryExitSelection","LocationName1","LocationValue1","LocationName2","LocationValue2","ExcludeFromPTCSegments","DisallowTrainTypes","LeftDarkAreaFlag","LeftDarkShelfTrack","RightDarkAreaFlag","RightDarkShelfTrack","ManualInterlocking","EATCEnable"
"100725","100000","1TK","T","1090","425","1130","385","100730","100726","0","0","0","0","5","2;1;100000;0005","0;1;100000;0005","0;1;100000;0005","0;1;100000;0005","0;1;100006;0005","0;1;100000;0005","0","0","229.4229","229.5","CTC","MAIN","WEST LIMITS CP CARL","EAST LIMITS CP CARL","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","8","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","TO","False","False","False","False","0","0","0","0","False","0","0","","0;1;100000;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100726","100000","1TK","T","1130","385","1155","385","100725","100729","0","0","0","0","5","2;1;100000;0005","0;1;100000;0005","0;1;100000;0005","0;1;100000;0005","0;1;100006;0005","0;1;100000;0005","0","0","229.5","229.5307","CTC","MAIN","WEST LIMITS CP CARL","EAST LIMITS CP CARL","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","8","10","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","TO","False","False","False","False","0","0","0","0","False","0","0","","0;1;100000;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100733","100013","1TK","T","530","425","550","405","100732","100734","0","0","0","0","5","11;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100006;0005","0;1;100013;0005","0","0","226.7587","226.78","CTC","MT1","WEST LIMITS CP ESCONDIDO JCT","EAST LIMITS CP ESCONDIDO JCT","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","8","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","XO","False","False","False","False","0","0","0","0","False","0","0","","0;1;100013;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100734","100013","5TK","T","550","405","570","385","100733","100735","0","0","0","0","5","14;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100006;0005","0;1;100013;0005","0","0","226.78","226.802","CTC","OSD POCKET","WEST LIMITS CP ESCONDIDO JCT","EAST LIMITS CP ESCONDIDO JCT","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","8","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","XO","False","False","False","False","0","0","0","0","False","0","0","","0;1;100013;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100736","100013","5TK","T","570","385","620","385","100735","100756","0","0","0","0","5","14;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0","0","226.802","226.8852","CTC","OSD POCKET","WEST LIMITS CP ESCONDIDO JCT","EAST LIMITS CP ESCONDIDO JCT","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","8","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","OCEANSIDE POCKET TRACK","False","False","False","False","0","0","0","0","False","0","0","","0;1;100013;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100737","100013","5TK","T","500","385","570","385","100738","100735","0","0","0","0","5","14;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0","0","226.7511","226.802","CTC","OSD POCKET","WEST LIMITS CP ESCONDIDO JCT","EAST LIMITS CP ESCONDIDO JCT","100","2","True","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","8","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","OCEANSIDE POCKET TRACK","False","False","False","False","0","0","0","0","False","0","0","","0;1;100013;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100741","100033","STATION1-2","T","1535","855","1535","855","0","0","0","0","0","0","5","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0","0","267.6348","267.6889","CTC-OTHER","STATION1-2","WEST LIMITS CP ASH,","NOTHING","100","2","False","0","False","False","False","False","False","False","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","False","1","16","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","STATION1-2","True","False","False","False","0","0","0","0","False","0","0","","0;1;100033;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","True","","False",,"False",,"False","False"
"100742","100033","STATION3-4","T","1535","935","1535","935","0","0","0","0","0","0","5","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0","0","267.6293","267.6889","CTC-OTHER","STATION3-4","WEST LIMITS CP ASH,","NOTHING","100","2","False","0","False","False","False","False","False","False","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","False","1","18","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","STATION3-4","False","False","False","False","0","0","0","0","False","0","0","","0;1;100033;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","True","","False",,"False",,"False","False"
"100743","100000","WCAK","T+","1155","385","1285","385","100729","100754","0","0","0","0","5","14;1;100000;0005","0;1;100000;0005","4;1;100017;0005","0;1;100000;0005","0;1;100000;0005","0;1;100000;0005","0","0","229.5307","231.489","CTC","MT1","CP CARL","CP FARR","100","2","False","0","True","False","True","False","True","True","0;0;0;0|","0;0;0;0","PACIFIC","False","0;0;0;0","0","False","1","8","0","0;0;0;0|","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","False","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","MT1","False","False","False","False","0","0","0","0","False","0","0","","0;1;100000;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
"100746","100013","5TK","T","620","385","640","405","100756","100770","0","0","0","0","5","14;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0","0","226.8852","226.9","CTC","OSD POCKET","WEST LIMITS CP ESCONDIDO JCT","EAST LIMITS CP ESCONDIDO JCT","100","2","True","0","True","False","True","False","True","True","0;0;0;0|0;0;0;0","0;0;0;0","PACIFIC","False","0;0;0;0","0","True","1","8","10","0;0;0;0|0;0;0;0","0;0;0;0","False","False","False","False","40|30|20|10","False","NONE","False","0","False","False","False","False","False","False","False","False","False","","False","","True","0","0","False","False","ROUTE NAME","False","False","0","","450","False","","","False","","False","False","0","","False","0;0;0;0","0;0;0;0",,"",,"False","XO","False","False","False","False","0","0","0","0","False","0","0","0;0;100013;5","0;1;100013;0005","NONE","False","False","","0","0","0","0","0","0","0","0","0","0","False","False","False","","False","False","","","","","False","","False",,"False",,"False","False"
