"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"100992","100001","SONGS","SUPERVISORY CONTROL","D","ArrowRight",,"ERQK;-16711936",";-;","False","False","False","False","False","False","5","0;1;100001;","0;1;100001;","0;1;100001;","11;1;100001;0005","0;1;100001;0005","0;1;100001;0005","100","2","SAN DIEGO","",,,,"NONE"
"200108","200027","YARD","UNLOCK ","D","ControlOnly",,"LOCK;-1",";-;","False","False","False","False","False","False","27","33;1;200027;","32;1;200027;","0;1;200027;","0;1;200027;0027","0;1;200027;0027","0;1;200027;0027","200","1","ESCONDIDO","",,,,"NONE"
"200175","200027","YARD","REVERSE","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","12;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200176","200027","YARD","NORMAL","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","27","0;1;200027;","0;1;200027;","0;1;200027;","11;1;200027;27","0;1;200027;27","0;1;200027;27","200","1","ESCONDIDO","",,,,"NONE"
"200517","200027","YARD","UNLOCK","D","ControlOnly",,"LOCK;-1",";-;","False","False","False","False","False","False","27","30;1;200027;","31;1;200027;","0;1;200027;","0;1;200027;0027","0;1;200027;0027","0;1;200027;0027","200","1","ESCONDIDO","",,,,"NONE"
"200698","200004","WYE","1009DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","8","0;1;200004;","0;1;200004;","0;1;200004;","26;1;200004;8","0;1;200004;0001","0;1;200004;0001","200","1","ESCONDIDO","",,,,"NONE"
"200699","200004","WYE","1009POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","8","0;1;200004;","0;1;200004;","0;1;200004;","25;1;200004;8","0;1;200004;0001","0;1;200004;0001","200","1","ESCONDIDO","",,,,"NONE"
"200700","200004","WYE","1011POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","8","0;1;200004;","0;1;200004;","0;1;200004;","27;1;200004;8","0;1;200004;0001","0;1;200004;0001","200","1","ESCONDIDO","",,,,"NONE"
"200701","200004","WYE","1011DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","8","0;1;200004;","0;1;200004;","0;1;200004;","28;1;200004;8","0;1;200004;0001","0;1;200004;0001","200","1","ESCONDIDO","",,,,"NONE"
"200702","200004","WYE","1012POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","8","0;1;200004;","0;1;200004;","0;1;200004;","29;1;200004;8","0;1;200004;0001","0;1;200004;0001","200","1","ESCONDIDO","",,,,"NONE"
