"WordType","CDLNNumber","CSNumber","CPNumber","BPAssignment","Mnemonic","LongName","BitType","UID","CodeLineName","CodeLineLimits","LegacyType","SessionProtocol","NormalCodeserverName","StandbyCodeserverName","PacketSwitchPName","PacketSwitchSName","StationName","ControlAddress","IndicationAddress","NumberOfControls","NumberOfIndications","WaysideATCSAddress","WaysideEMPAddress","ControlPointName","PTCSiteName","SubdivisionUID","SubdivisionName","TerritoryAssignment"
"I","5","1","100000","11","DOK","ILLEGAL ENTRY INDICATION","None","DF957250-33DF-44D9-B659-D06E9594DC36","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","12","BLANK","BLANK INDICATION","None","7DA29E06-9641-4BB6-807B-9F667E98CF91","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","13","LOK","LIGHT OUT INDICATION","None","49F46233-1DD5-43F1-A49F-E15D8199DFA7","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","14","WCAK","WCAK","None","C2841D79-83AD-4173-B5CC-8791F557AD2B","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","15","BLANK","BLANK INDICATION","None","30F14F0D-CAD2-47EA-A13B-81AE93276113","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"I","5","1","100000","16","BLANK","BLANK INDICATION","None","79FF27EC-9E7B-4E62-B624-38A5E06E2F11","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP CARL","73405050580202","73405050580202","8","16",,,"CARL","CP Carl","2","SAN DIEGO","100"
"C","5","1","100001","1","1NWS","NORMAL SWITCH CONTROL","None","26006234-0801-4CFE-9382-E33348BD50ED","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","2","BLANK","BLANK CONTROL","None","1B7B6F29-D66D-41DC-957E-3233A5711792","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","3","1RWS","REVERSE SWITCH CONTROL","None","5ED9A280-65CD-4D3B-BF98-8C39660758CC","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","4","BLANK","BLANK CONTROL","None","FF90AD59-A581-4F9B-AB5A-EF7C481444BF","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","5","EGHS","EASTBOUND SIGNAL CONTROL","None","685382FD-B724-4F32-8E85-18B71FA92C09","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","6","BLANK","BLANK","None","C4F490F8-E791-4844-B4CC-A71523D49046","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","7","WGHS","WESTBOUND SIGNAL CONTROL","None","1B942159-845C-4AFD-A336-65AF173F53DF","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","8","BLANK","BLANK CONTROL","None","78E30982-2E29-429B-B17F-570365539362","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","9","BLANK","BLANK CONTROL","NONE","12747571-9A9A-4BB1-AD6D-13132750B3D3","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","10","BLANK","BLANK CONTROL","NONE","055A0BD6-E9E6-4126-BBBE-726373573461","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","11","BLANK","BLANK CONTROL","NONE","20EDECB2-331A-4084-8F3E-2C171AA68404","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","12","BLANK","BLANK CONTROL","NONE","28337A49-D5BF-4608-8BBA-E7E6A8ACE902","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","13","BLANK","BLANK CONTROL","NONE","97B1C9B4-5B11-43C5-BD16-BCFD5AA4809D","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","14","BLANK","BLANK CONTROL","NONE","EC95914A-9D17-4DF3-859D-86132EA44D22","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","15","BLANK","BLANK CONTROL","NONE","4F984B58-4E34-4674-A5F0-5F461240849B","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100001","16","BLANK","BLANK CONTROL","NONE","8901F670-D315-4204-9EE8-9E86608EC988","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","1","1NWK","NORMAL SWITCH INDICATION","None","718D0CB3-192A-4AC6-BBFD-D894B3B87F11","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","2","TK","OS TRACK INDICATION","None","45BDF29E-4208-48A2-906D-F78FFBCE47B7","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","3","1RWK","REVERSE SWITCH INDICATION","None","87A45C32-D947-49DA-94FE-E8294EB4E02B","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","4","EAK","EAK","None","C97D3651-CE5E-4869-BB79-4F991243A8FD","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","5","EGK","EASTBOUND SIGNAL INDICATION","None","B4A7C139-52EA-4CF7-A831-EB1B50C99B79","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","6","WAAK","WAAK","None","001E2198-F82C-4E39-A543-D4B298810D05","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","7","WGK","WESTBOUND SIGNAL INDICATION","None","C48AC2AF-E51E-48B2-9818-69CC3A6F9A92","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","8","POK","POWER OFF INDICATION","None","3DF098F1-ED65-4632-BD3B-088DDAA2AED9","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","9","LCK","LOCAL CONTROL","None","BF20230D-33F8-4772-9B54-6080EEF28E4C","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","10","TEK","SIGNAL INTIME INDICATION","None","E18F1AEE-6BDA-47F8-AFEB-94A4297C2881","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","11","ERQK","ERQK","None","5DD89DEF-3CE3-4149-8AD6-5A7DBC7AB7B1","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","12","BLANK","BLANK INDICATION","None","EE3DEAE0-77CC-4C5A-8EB2-E2F5A0942AE6","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","13","LOK","LIGHT OUT INDICATION","None","A44CF443-D968-44DF-8266-343E0F1C5859","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","14","WBAK","WBAK","None","7CD54CB0-4258-449D-A7C6-80D0D7166F1D","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","15","BLANK","BLANK INDICATION","None","A036F660-B6E0-4C55-A3AB-B115667864B8","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"I","5","1","100001","16","BLANK","BLANK INDICATION","None","738E4557-85AE-49BE-981C-FAB0B99879C2","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP SONGS","73405050200202","73405050200202","16","16",,,"SONGS","CP Songs","2","SAN DIEGO","100"
"C","5","1","100002","1","1NWS","1 NORMAL SWITCH CONTROL","None","244E42C8-2C4F-431B-ADD2-52319CDB088B","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","2","1RWS","1 REVERSE SWITCH CONTROL","None","F2E03AD4-0C89-4542-86BB-7225ACE0E628","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","3","3NWS","3 NORMAL SWITCH CONTROL","None","7F252114-D67A-4E69-B6A6-679EB63E231F","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","4","3RWS","3 REVERSE SWITCH CONTROL","None","8323139B-F1C9-4D27-AABF-B476A1374558","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
"C","5","1","100002","5","2EGHS","2 EASTBOUND SIGNAL CONTROL","None","C4F25559-AD45-4B03-B653-00D0DDC4DDDE","CDLN-5","CODE LINE LIMITS","ATCS","0","CODE-02A","CODE-02B","WCC 3713","WCC 3714","CP DON","73405050250202","73405050250202","24","24",,,"DON","CP Don","2","SAN DIEGO","100"
