"TrainSheetGUID","OsPoint","OsTime","TrackGUID","SubName","ReportData","RecordGUID","Direction","EventCreator"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","ESCONDIDO JCT","2026-03-23 오후 11:14:39","100289","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:14:39|0|56|2878|5400||BNSF  6142;|ESCONDIDO JCT|100013||NONE|0|BNSF  8368|NONE|","E1F148A0-CD82-49B0-AE82-3E771F371390",,"ANDROVICH, ERINA {EAA}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","PACIFIC","2026-03-23 오후 11:14:23","100701","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:14:23|0|56|2878|5400||BNSF  6142;|PACIFIC|100011||NONE|0|BNSF  8368|NONE|","E4930D7A-1C4B-42E5-82DF-520FA24A8E24",,"ANDROVICH, ERINA {EAA}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","SHELL","2026-03-23 오후 11:13:31","100246","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:13:31|0|56|2878|5400||BNSF  6142;|SHELL|100012||NONE|0|BNSF  8368|NONE|","803C0404-EF27-4011-9A15-0E0E35787627",,"ANDROVICH, ERINA {EAA}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","ANGEL","2026-03-23 오후 11:12:24","200239","ESCONDIDO","RCAL0253 23|3/23/2026 23:12:24|4|0|530|358||BNSF   154;|ANGEL|200010||NONE|0|BNSF   171|NONE|","62378138-4686-4B98-A852-0FAE908EA538",,"CANADA, GLORIA {GC}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","EAST BROOK","2026-03-23 오후 11:12:20","100878","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:12:20|0|56|2878|5400||BNSF  6142;|EAST BROOK|100009||NONE|0|BNSF  8368|NONE|","61889ACF-8197-4CA5-BC13-904C0310E50D",,"ANDROVICH, ERINA {EAA}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","MESA","2026-03-23 오후 11:08:28","100669","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:08:28|0|56|2878|5400||BNSF  6142;|MESA|100006||NONE|0|BNSF  8368|NONE|","68553201-43B6-458D-97EC-5AE3CFA7258C",,"ANDROVICH, ERINA {EAA}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","SCHOOL","2026-03-23 오후 11:07:33","200219","ESCONDIDO","RCAL0253 23|3/23/2026 23:07:33|4|0|530|358||BNSF   154;|SCHOOL|200007||NONE|0|BNSF   171|NONE|","D77E437B-CB0D-4870-BB14-F04060A1A8CB",,"CANADA, GLORIA {GC}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","STUART","2026-03-23 오후 11:07:12","100682","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:07:12|0|56|2878|5400||BNSF  6142;|STUART|100005||NONE|0|BNSF  8368|NONE|","23AE1859-6485-476B-AA8F-81087216FEBE",,"ANDROVICH, ERINA {EAA}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","PULGAS","2026-03-23 오후 11:02:44","100138","SAN DIEGO","VSBDSDG4 23|3/23/2026 23:02:44|0|56|2878|5400||BNSF  6142;|PULGAS|100003||NONE|0|BNSF  8368|NONE|","7B6B8331-0A30-4BE0-8B1B-7E35F34DCEFD",,"ANDROVICH, ERINA {EAA}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","TRUE","2026-03-23 오후 11:01:21","200146","ESCONDIDO","RCAL0253 23|3/23/2026 23:01:21|4|0|530|358||BNSF   154;|TRUE|200003||NONE|0|BNSF   171|NONE|","929518D7-DE80-446D-8833-51138491A9A5",,"CANADA, GLORIA {GC}"
"BA89992B-4F97-45B7-ABAD-198609FF62CB","DON","2026-03-23 오후 10:59:40","100155","SAN DIEGO","VSBDSDG4 23|3/23/2026 22:59:40|0|56|2878|5400||BNSF  6142;|DON|100002||NONE|0|BNSF  8368|NONE|","1B3C4397-DA71-4BC1-BE9C-201A70C188EA",,"ANDROVICH, ERINA {EAA}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","TRUE","2026-03-23 오후 10:59:36","200123","ESCONDIDO","RCAL0253 23|3/23/2026 22:59:36|4|0|530|358||BNSF   154;|TRUE|200003||NONE|0|BNSF   171|NONE|","55F9D9A5-17B4-4A8B-B9AE-292A9026E4FD",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","CROUCH","2026-03-23 오후 10:57:57","200145","ESCONDIDO","RCAL0253 23|3/23/2026 22:57:57|4|0|530|358||BNSF   154;|CROUCH|200005||NONE|0|BNSF   171|NONE|","B2551993-E738-4945-9094-7DDEB7D93970",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","WYE","2026-03-23 오후 10:54:53","200165","ESCONDIDO","RCAL0253 23|3/23/2026 22:54:53|4|0|530|358||BNSF   154;|WYE|200004||NONE|0|BNSF   171|NONE|","C5CB2C87-294F-40B9-A1EB-A7E051D779DA",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","WYE","2026-03-23 오후 10:54:39","200160","ESCONDIDO","RCAL0253 23|3/23/2026 22:54:39|4|0|530|358||BNSF   154;|WYE|200004||NONE|0|BNSF   171|NONE|","227246C8-E03A-40AB-A119-E2070D6FF317",,"CANADA, GLORIA {GC}"
"04D05968-BFE2-4675-8D05-3C9F8798FF3A","RAILROAD","2026-03-23 오후 10:53:48","200135","ESCONDIDO","RCAL0253 23|3/23/2026 22:53:48|4|0|530|358||BNSF   154;|RAILROAD|200002||NONE|0|BNSF   171|NONE|","93872E3E-8778-40D1-A9CA-2589680D4408",,"CANADA, GLORIA {GC}"
"D9A854AF-E94F-41A3-8AFC-E35F76690015","ESCONDIDO JCT","2026-03-23 오후 10:52:05","100736","SAN DIEGO","RCAL0153 23|3/23/2026 22:52:05|4|0|530|358||BNSF   154;|ESCONDIDO JCT|100013||NONE|0|BNSF   171|NONE|","8D09B8D0-B2E8-4420-8F22-04EB0DD9A354",,"ANDROVICH, ERINA {EAA}"
