"RestrictionUID","RestrictionType","SubType","RestrictionSubName","TrackName","TrackNameList","Direction","Information","CompList","PTCBulletinText","ComponentUID","component_family","component_name","component_secondary_name"
"301","SPEED RESTRICTION","FORM A","SAN DIEGO","All Tracks","All Tracks","NONE","SHORT FLAG AT MP 267.00","100368-100496-100497-100508-100509-100617-100618-100619-100620-100621-100622-100365","Track Bulletin No 301|San Diego Sub|Between MP   265.0  And MP   266.0 |35 MPH|All Tracks|Short Flag At Mp 267.00 |","100620","track","MAIN ONE","MT1"
"301","SPEED RESTRICTION","FORM A","SAN DIEGO","All Tracks","All Tracks","NONE","SHORT FLAG AT MP 267.00","100368-100496-100497-100508-100509-100617-100618-100619-100620-100621-100622-100365","Track Bulletin No 301|San Diego Sub|Between MP   265.0  And MP   266.0 |35 MPH|All Tracks|Short Flag At Mp 267.00 |","100621","track","MAIN TWO","MT2"
"301","SPEED RESTRICTION","FORM A","SAN DIEGO","All Tracks","All Tracks","NONE","SHORT FLAG AT MP 267.00","100368-100496-100497-100508-100509-100617-100618-100619-100620-100621-100622-100365","Track Bulletin No 301|San Diego Sub|Between MP   265.0  And MP   266.0 |35 MPH|All Tracks|Short Flag At Mp 267.00 |","100622","track","MAIN TWO","MT2"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200247","track","1094BK","MT1"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200248","track","1096BK","MT2"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200252","track","TK","MAIN"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200254","track","TK","MAIN"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200255","track","TK","MAIN"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200272","track","1102BK","MT1"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200273","track","1104BK","MT2"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200274","track","1ESTK","MT1"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200275","track","2ESTK","MT2"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200277","track","2EABK","MT2"
"457","WORKZONE","FORM B","ESCONDIDO","All Tracks","All Tracks","","","200252-200254-200255-200272-200273-200274-200275-200277-200279-200247-200248","Track Bulletin No 457|Escondido Sub|On March 24 |From 0700 Until 1530|Between MP   110.0 And MP   111.4|All Tracks|Foreman S Cassell|","200279","track","1EABK","MT1"
"458","WORKZONE","FORM B","SAN DIEGO","All Tracks","All Tracks","","","100329-100330-100331-100332-100325-100335-100342","Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP   233.7 And MP   235.4|All Tracks|Foreman J. Vincent|","100325","track","2WAK","MT1"
"458","WORKZONE","FORM B","SAN DIEGO","All Tracks","All Tracks","","","100329-100330-100331-100332-100325-100335-100342","Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP   233.7 And MP   235.4|All Tracks|Foreman J. Vincent|","100329","track","TKR","MAIN"
"458","WORKZONE","FORM B","SAN DIEGO","All Tracks","All Tracks","","","100329-100330-100331-100332-100325-100335-100342","Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP   233.7 And MP   235.4|All Tracks|Foreman J. Vincent|","100330","track","TKR","MAIN"
"458","WORKZONE","FORM B","SAN DIEGO","All Tracks","All Tracks","","","100329-100330-100331-100332-100325-100335-100342","Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP   233.7 And MP   235.4|All Tracks|Foreman J. Vincent|","100331","track","TKR","MAIN"
"458","WORKZONE","FORM B","SAN DIEGO","All Tracks","All Tracks","","","100329-100330-100331-100332-100325-100335-100342","Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP   233.7 And MP   235.4|All Tracks|Foreman J. Vincent|","100332","track","TKR","MAIN"
"458","WORKZONE","FORM B","SAN DIEGO","All Tracks","All Tracks","","","100329-100330-100331-100332-100325-100335-100342","Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP   233.7 And MP   235.4|All Tracks|Foreman J. Vincent|","100335","track","WATKAR","MAIN"
"458","WORKZONE","FORM B","SAN DIEGO","All Tracks","All Tracks","","","100329-100330-100331-100332-100325-100335-100342","Track Bulletin No 458|San Diego Sub|On March 24 |From 0630 Until 1700|Between MP   233.7 And MP   235.4|All Tracks|Foreman J. Vincent|","100342","track","4WAK","MT2"
"459","WORKZONE","FORM B","SAN DIEGO","Main","Main","","","100404-100406-100403-100887","Track Bulletin No 459|San Diego Sub|On March 24 |From 0630 Until 1600|Between MP   243.9 And MP   245.8|Main Track|Foreman G. Gwin|","100403","track","TK","MAIN"
"459","WORKZONE","FORM B","SAN DIEGO","Main","Main","","","100404-100406-100403-100887","Track Bulletin No 459|San Diego Sub|On March 24 |From 0630 Until 1600|Between MP   243.9 And MP   245.8|Main Track|Foreman G. Gwin|","100404","track","TK","MAIN"
"459","WORKZONE","FORM B","SAN DIEGO","Main","Main","","","100404-100406-100403-100887","Track Bulletin No 459|San Diego Sub|On March 24 |From 0630 Until 1600|Between MP   243.9 And MP   245.8|Main Track|Foreman G. Gwin|","100406","track","TK","MAIN"
"459","WORKZONE","FORM B","SAN DIEGO","Main","Main","","","100404-100406-100403-100887","Track Bulletin No 459|San Diego Sub|On March 24 |From 0630 Until 1600|Between MP   243.9 And MP   245.8|Main Track|Foreman G. Gwin|","100887","track","WAK","MAIN"
