"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","PIND","PCTL","SIND","SCTL","TIND","TCTL","AuthorityType","TerritoryAssignment","Subdivision","IndicateOnly","Fleeting","Stacking","Blocking","CallOn","InTimeType","InTimeBit","DrillSignal","DrillType","DrillControl","DrillStop","DrillIndOne","DrillIndTwo","SignalBlockInd","BlockIndBit","AutoClearCount","PreferredRoutes","CallOnBit","NoOpposingCheck","SignalSlotting","GraphicGroup","ScreenRegion","MatchMode","NoAlarmOnPending","MakeInVisible","ForceStopControl","SignalAspectIndications","FleetControlBit","Notes","HoldingSignal","SignalClearAheadCount","AllowAutomaticMode","AutomaticModeOn","IndicateOnlyWithControlSetEnabled","SignalControlled","CallOnAllowedWithoutOpposingTraffic","CallOnSendSignalClearBit","PTCUID","ToolTipName","JointControlAuthorizationEnabled","JointControlAuthorizationIndBit","JointControlAuthorizationCtlBit","NearSideSignalEnabled","NearSideSignalControlOn","NearSideSignalBitControl","NearSideSignaBitlIndication","Milepost","MilepostSuffix","MilepostPrefix","AdditionalReferenceUID","CallOnControlled","PublishStatusToPTC","DevicePTCUID","AutomaticSignal","DisableTrafficProjection","JointControlAuthorizationOfficeMode","JointControlAuthorizationOfficeModeRequested","JointControlAuthorizationOfficeModeConfirmed","EnableDynamicSignalRouteControlBit","DynamicSignalRouteControlBitList","EnablePulseStopControl","DynamicSignalRouteCallOnBitList","PTC_UID_KEY","PTC_DeviceName","PTC_ProperName","PTC_WIUStatusIndex","PTC_DeviceBlockID","PTC_Enable_PSS","SupressSignalStopWithOutOS","DisableEntryExitFunction","DisableStoreRouteFunction","RRUniqueIdentifierName","EnableAbsoluteBlockSignalRequest","AlarmTime","SuppressUnSolicitedSignalAlert","DISABLEBULLEXCEPTNCHK","BlueFlag","TrackPermit","FoulTime","TrackTime","TrackLock","AllowCallOnWithOutOccupancyInRoute","AllowCallOnWithPendingClearRequest"
"100667","100006","2E-SIGNAL","R","1405","135","1590","140","100883","100670","0","0","0","0","5","5;1;100006;0005","5;1;100006;0005|0;1;100006;0005","0;1;100006;0005","0;1;100006;0005|0;1;100006;0005","0;1;100006;0005","0;1;100006;0005|0;1;100006;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100006","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","3","False","False","False","False","||||||||||||||||||||","0;1;100006;0005","NONE","False","3","False",,"False",,"False","False","0","2E","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","222.4507","","",,,"False","","False","False","False",,,"False","","False","","136","2E","EB MT1","4","6005","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100689","100005","2E-SIGNAL","R","1005","135","1170","145","100885","100682","0","0","0","0","5","5;1;100005;0005","5;1;100005;0005|0;1;100005;0005","0;1;100005;0005","0;1;100005;0005|0;1;100005;0005","0;1;100005;0005","0;1;100005;0005|0;1;100005;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100005","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","3","False","False","False","False","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100005;0005","NONE","False","3","False",,"False",,"False","False","0","2E","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","221.366","","",,,"False","","False","False","False",,,"False","","False","","101","2E","EB MT1","4","6004","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100692","100033","EB MT1","R","1100","920","1105","845","100509","100511","0","0","0","0","5","5;1;100033;0005","5;1;100033;0005|0;1;100033;0005","0;1;100033;0005","0;1;100033;0005|0;1;100033;0005","0;1;100033;0005","0;1;100033;0005|0;1;100033;0005","CTC","100","2","False","True","True","True","True","INTIMEBIT","8;1;100033","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","6;1;100033;0005","False","True","1","17","False","False","False","True","||||||||||||||||||||","0;1;100033;0005","NONE","False","3","False",,"False",,"True","False","0","2EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","267.2073","","",,,"False","CP Ash|2E","False","False","False",,,"False","","False","","126","2E","EB MT1","12","10036","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100705","100011","E-SIGNAL","R","260","435","1215","1285","100254","100701","0","0","0","0","5","5;1;100011;0005","5;1;100011;0005|0;1;100011;0005","0;1;100011;0005","0;1;100011;0005|0;1;100011;0005","0;1;100011;0005","0;1;100011;0005|0;1;100011;0005","CTC","100","2","False","True","True","True","True","INTIMEBIT","11;1;100011","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","6;1;100011;0005","False","True","1","8","False","False","False","True","||||||||||||||||||||","0;1;100011;0005","NONE","False","0","False",,"False",,"False","False","0","E-SIGNAL","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","226.475","","",,,"False","","False","False","False",,,"False","","False","","43","E","EB MT1","2","6011","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100706","100011","W-SIGNAL","L","385","415","1315","1265","100702","100257","0","0","0","0","5","7;1;100011;0005","7;1;100011;0005|0;1;100011;0005","0;1;100011;0005","0;1;100011;0005|0;1;100011;0005","0;1;100011;0005","0;1;100011;0005|0;1;100011;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","11;1;100011","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","8","False","False","False","True","||||||||||||||||||||","0;1;100011;0005","NONE","False","0","False",,"False",,"False","False","0","W-SIGNAL","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","226.639","","",,,"False","","False","False","False",,,"False","","False","","45","WA","WB MT1","7","6012","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100707","100011","W-SIGNAL","L","385","375","1315","1225","100704","100265","0","0","0","0","5","7;1;100011;0005","7;1;100011;0005|0;1;100011;0005","0;1;100011;0005","0;1;100011;0005|0;1;100011;0005","0;1;100011;0005","0;1;100011;0005|0;1;100011;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","11;1;100011","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","True","1","7","False","False","False","True","||||||||||||||||||||","0;1;100011;0005","NONE","False","0","False",,"False",,"False","False","0","W-SIGNAL","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","226.531","","",,,"False","","False","False","False",,,"False","","False","","44","WB","WB OPT","12","9000","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100727","100000","E-SIGNAL","R","1055","435","1215","530","100860","100723","0","0","0","0","5","5;1;100000;0005","5;1;100000;0005|0;1;100000;0005","0;1;100000;0005","0;1;100000;0005|0;1;100000;0005","0;1;100000;0005","0;1;100000;0005|0;1;100000;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100000","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","8","False","False","False","False","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100000;0005","NONE","False","3","False",,"False",,"False","False","0","EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","229.4132","","",,,"False","","False","False","False",,,"False","","False","","104","EA_B","EB MT","2","5008","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100729","100000","W-SIGNAL","L","1155","375","1315","470","100726","100743","0","0","0","0","5","7;1;100000;0005","7;1;100000;0005|0;1;100000;0005","0;1;100000;0005","0;1;100000;0005|0;1;100000;0005","0;1;100000;0005","0;1;100000;0005|0;1;100000;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100000","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","7","False","False","False","False","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100000;0005","NONE","False","3","False",,"False",,"False","False","0","WC_D","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","229.5307","","",,,"False","","False","False","False",,,"False","","False","","8","WC_D","WB MT1","12","6015","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100738","100013","6E-SIGNAL","R","500","395","890","525","100265","100737","0","0","0","0","5","21;1;100013;0005","21;1;100013;0005|0;1;100013;0005","0;1;100013;0005","0;1;100013;0005|0;1;100013;0005","0;1;100013;0005","0;1;100013;0005|0;1;100013;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","27;1;100013","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","8","False","False","False","False","||||||||||||||||||||","0;1;100013;0005","NONE","False","0","False",,"False",,"False","False","0","6E-SIGNAL","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","226.7511","","",,,"False","","False","False","False",,,"False","","False","","49","6E","EB OPT","28","9000","False",,"False","False",,,"0",,,"False","False","False","False","False",,
"100754","100017","2E-SIGNAL","R","1285","395","1330","520","100743","100748","0","0","0","0","5","5;1;100017;0005","5;1;100017;0005|0;1;100017;0005","0;1;100017;0005","0;1;100017;0005|0;1;100017;0005","0;1;100017;0005","0;1;100017;0005|0;1;100017;0005","CTC","100","2","False","True","True","True","False","INTIMEBIT","10;1;100017","False","NULL","0;0;0","0;0;0","0;0;0","0;0;0","False","0;0;0;0","0","NULL","0;0;0;0","False","False","1","8","False","False","False","False","0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0|0;0;0;0","0;1;100017;0005","NONE","False","3","False",,"False",,"False","False","0","2EA_B","False","0;0;0;0","0;0;0;0|0;0;0;0","False",,"0;0;0;0","0;0;0;0","231.489","","",,,"False","","False","False","False",,,"False","","False","","98","2EA_B","EB MT1","8","6015","False",,"False","False",,,"0",,,"False","False","False","False","False",,
