"component_family","component_uid","parent_control_point_uid","component_name","component_secondary_name","component_detail_name","component_codeline","reference_column","reference_value"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPCTL6","0;0;0;0"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPCTL7","0;0;0;0"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPCTL8","0;0;0;0"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPCTL9","0;0;0;0"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND1","9;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND10","0;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND11","0;0;100005;5"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND12","0;0;100005;5"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND13","0;0;100005;5"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND2","8;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND3","13;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND4","11;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND5","0;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND6","0;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND7","0;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND8","0;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","CPIND9","0;1;100005"
"control_point","100005","100005","STUART","NULL","CP Stuart","5","ScadaAlarmReportingIndicationBit","0;1;100005"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL1","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL10","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL11","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL12","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL13","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL2","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL3","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL4","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL5","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL6","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL7","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL8","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPCTL9","0;0;0;0"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND1","9;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND10","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND11","0;0;100006;5"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND12","0;0;100006;5"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND13","0;0;100006;5"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND2","8;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND3","13;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND4","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND5","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND6","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND7","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND8","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","CPIND9","0;1;100006"
"control_point","100006","100006","MESA","NULL","CP Mesa","5","ScadaAlarmReportingIndicationBit","0;1;100006"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL1","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL10","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL11","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL12","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL13","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL2","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL3","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL4","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL5","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL6","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL7","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL8","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPCTL9","0;0;0;0"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND1","9;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND10","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND11","0;0;100007;5"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND12","0;0;100007;5"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND13","0;0;100007;5"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND2","8;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND3","13;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND4","11;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND5","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND6","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND7","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND8","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","CPIND9","0;1;100007"
"control_point","100007","100007","ROSE","NULL","CP Rose","5","ScadaAlarmReportingIndicationBit","0;1;100007"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL1","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL10","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL11","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL12","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL13","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL2","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL3","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL4","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL5","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL6","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL7","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL8","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPCTL9","0;0;0;0"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND1","17;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND10","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND11","0;0;100008;5"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND12","0;0;100008;5"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND13","0;0;100008;5"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND2","8;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND3","19;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND4","18;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND5","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND6","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND7","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND8","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","CPIND9","0;1;100008"
"control_point","100008","100008","BROADWAY","NULL","CP Broadway","5","ScadaAlarmReportingIndicationBit","0;1;100008"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL1","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL10","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL11","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL12","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL13","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL2","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL3","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL4","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL5","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL6","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL7","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL8","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPCTL9","0;0;0;0"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND1","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND10","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND11","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND12","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND13","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND2","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND3","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND4","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND5","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND6","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND7","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND8","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","CPIND9","0;0;100009;5"
"control_point","100009","100009","EAST BROOK","NULL","CP East Brook","5","ScadaAlarmReportingIndicationBit","0;1;100009"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL1","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL10","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL11","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL12","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL13","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL2","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL3","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL4","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL5","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL6","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL7","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL8","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPCTL9","0;0;0;0"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND1","18;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND10","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND11","0;0;100010;5"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND12","0;0;100010;5"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND13","0;0;100010;5"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND2","17;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND3","20;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND4","19;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND5","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND6","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND7","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND8","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","CPIND9","0;1;100010"
"control_point","100010","100010","SORRENTO","NULL","CP Sorrento","5","ScadaAlarmReportingIndicationBit","0;1;100010"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPCTL1","0;1;100011"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPCTL2","0;1;100011"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPCTL3","0;1;100011"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPCTL4","0;1;100011"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPCTL5","0;1;100011"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPIND1","10;1;100011"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPIND10","0;1;100011"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPIND11","0;0;0;0"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPIND12","0;0;0;0"
"control_point","100011","100011","PACIFIC","NULL","CP Pacific","5","CPIND13","0;0;0;0"
