"WordType","CDLNNumber","CPNumber","CSNumber","BPAssignment","Mnemonic","LongName","BitType","UID"
"C","5","100001","1","15","BLANK","BLANK CONTROL","NONE","4F984B58-4E34-4674-A5F0-5F461240849B"
"I","5","100001","1","15","BLANK","BLANK INDICATION","None","A036F660-B6E0-4C55-A3AB-B115667864B8"
"C","5","100001","1","16","BLANK","BLANK CONTROL","NONE","8901F670-D315-4204-9EE8-9E86608EC988"
"I","5","100001","1","16","BLANK","BLANK INDICATION","None","738E4557-85AE-49BE-981C-FAB0B99879C2"
"C","5","100002","1","1","1NWS","1 NORMAL SWITCH CONTROL","None","244E42C8-2C4F-431B-ADD2-52319CDB088B"
"I","5","100002","1","1","1NWK","1 NORMAL SWITCH INDICATION","None","BAD87FEE-2702-435A-A840-2EAD19AA85AF"
"C","5","100002","1","2","1RWS","1 REVERSE SWITCH CONTROL","None","F2E03AD4-0C89-4542-86BB-7225ACE0E628"
"I","5","100002","1","2","1RWK","1 REVERSE SWITHC INDICATION","None","75C48F9D-B577-40F0-A4DE-BFADB9342FFD"
"C","5","100002","1","3","3NWS","3 NORMAL SWITCH CONTROL","None","7F252114-D67A-4E69-B6A6-679EB63E231F"
"I","5","100002","1","3","3NWK","3 NORMAL SWITCH INDICATION","None","C1A21140-5F26-4C5D-B90C-A4353EFEF555"
"C","5","100002","1","4","3RWS","3 REVERSE SWITCH CONTROL","None","8323139B-F1C9-4D27-AABF-B476A1374558"
"I","5","100002","1","4","3RWK","3 REVERSE SWITCH INDICATION","None","4F92CF41-06B0-4193-BC89-A4C157525D51"
"C","5","100002","1","5","2EGHS","2 EASTBOUND SIGNAL CONTROL","None","C4F25559-AD45-4B03-B653-00D0DDC4DDDE"
"I","5","100002","1","5","2EGK","2 EASTBOUND SIGNAL INDICATION","None","B45B99AF-E63A-4A69-9721-9BE6A66CF36A"
"C","5","100002","1","6","2WGHS","2 WESTBOUND SIGNAL CONTROL","None","D03CB7B3-BA10-42D4-9B75-9C1BC0856D99"
"I","5","100002","1","6","2WGK","2 WESTBOUND SIGNAL INDICATION","None","20B56030-45C8-4CFE-9F49-F7623F43D035"
"C","5","100002","1","7","4EGHS","4 EASTBOUND SIGNAL CONTROL","None","91490C7B-AD93-4D31-BD6E-6F7CB6797269"
"I","5","100002","1","7","4EGK","4 EASTBOUND SIGNAL INDICATION","None","E7937BB1-EDCB-409B-B853-A17AF8B418F1"
"C","5","100002","1","8","4WGHS","4 WESTBOUND SIGNAL CONTROL","None","91DE79CA-336C-40FC-ABF9-0C78B26356E9"
"I","5","100002","1","8","4WGK","4 WESTBOUND SIGNAL INDICATION","None","D4DB18A0-9635-419E-B6CD-9A40E4091EE4"
"C","5","100002","1","9","BLANK","BLANK CONTROL","None","521AA708-F8A2-4A91-8215-4A741998AF49"
"I","5","100002","1","9","1TK","1 OS TRACK INDICATION","None","C6E23731-8DC7-42D0-88E4-83317769715F"
"C","5","100002","1","10","BLANK","BLANK CONTROL","None","6E7C4B3A-9F18-41AB-8F63-89480799342E"
"I","5","100002","1","10","3TK","3 OS TRACK INDICATION","None","E7BF2C20-B9C9-4767-B6ED-2A570B8EED42"
"C","5","100002","1","11","BLANK","BLANK CONTROL","None","AC23299F-FB3B-4160-B598-0E7A843A08F8"
"I","5","100002","1","11","2TEK","2 SIGNAL INTIME INDICATION","None","AAE58FDE-904F-428C-B79A-592E805B8923"
"C","5","100002","1","12","BLANK","BLANK CONTROL","None","5DC7BDF1-7C74-4550-8F4C-BE82B5B0553B"
"I","5","100002","1","12","4TEK","4 SIGNAL INTIME INDICATION","None","D633161C-48F6-41F3-871B-00B179C3EA3D"
"C","5","100002","1","13","BLANK","BLANK CONTROL","None","D6A01453-5D13-43CD-93DF-49B91495D28D"
"I","5","100002","1","13","2EAK","2EAK","None","E90ACBAA-88EE-480D-BDBC-701E624587CF"
"C","5","100002","1","14","BLANK","BLANK CONTROL","None","A5B548B5-A184-4BDC-8B34-052EF06A7200"
"I","5","100002","1","14","2WAK","2WAK","None","1D9B113F-C4A9-4621-9B36-A7F702E98E73"
"C","5","100002","1","15","BLANK","BLANK CONTROL","None","B3EC0AE8-AEBA-406C-A24D-66BA63414D12"
"I","5","100002","1","15","4EAK","4EAK","None","FEB8C365-D5F8-4418-BF6E-C320D0681CA7"
