track_uid,control_point_uid,subdivision_name,codeline,track_name,track_name_group,route_name,control_cluster_raw,control_cluster_split,control_cluster_distinct_count,pctl_raw,sctl_raw,tctl_raw,tind_raw,sind_raw,qctl_raw,qind_raw,tind_relation_to_control_cluster,sind_relation_to_control_cluster,qctl_relation_to_control_cluster,qind_relation_to_control_cluster,tind_cp_alignment,sind_cp_alignment,qctl_cp_alignment,qind_cp_alignment,tind_trailing_alignment,sind_trailing_alignment,qctl_trailing_alignment,qind_trailing_alignment,pind_resolved_mnemonics,sind_resolved_mnemonics,sctl_resolved_mnemonics,pind_resolved_count,sind_resolved_count,sctl_resolved_count
200137,200002,ESCONDIDO,7,3TK,ESCON CON,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,3TK,,,1,0,0
200140,200002,ESCONDIDO,7,VERSAFORM TRACK,ESCON CON TRACK,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,3WATK,,,1,0,0
200510,200002,ESCONDIDO,7,1TK,MAIN,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,1TK,,,1,0,0
200534,200002,ESCONDIDO,7,1TK,MAIN,ROUTE NAME,0;1;200002;0007,False,1,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1TK,,,1,0,0
200123,200003,ESCONDIDO,10,1021BK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1021BK,,,1,0,0
200146,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,,same_as_control_cluster,same_as_control_cluster,same_as_control_cluster,blank,same_cp,same_cp,same_cp,blank,matches_codeline,matches_codeline,matches_codeline,blank,TK,,,1,0,0
200147,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,TK,,,1,0,0
200148,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200149,200003,ESCONDIDO,10,TK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,TK,,,1,0,0
200174,200003,ESCONDIDO,10,1EABK,MAIN,ROUTE NAME,0;1;200003;0010,False,1,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;1;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,1EABK,,,1,0,0
200159,200004,ESCONDIDO,8,CHSTK,MAIN,ROUTE NAME,0;1;200004;0008,False,1,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,CHSTK,,,1,0,0
200160,200004,ESCONDIDO,8,CHSTK,MAIN,ROUTE NAME,0;1;200004;0008,False,1,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,CHSTK,,,1,0,0
200161,200004,ESCONDIDO,8,CHSTK,MAIN,ROUTE NAME,0;1;200004;0008,False,1,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,CHSTK,,,1,0,0
200162,200004,ESCONDIDO,8,CHSTK,MAIN,ROUTE NAME,0;1;200004;0008,False,1,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,CHSTK,,,1,0,0
200165,200004,ESCONDIDO,8,1WABK,MAIN,ROUTE NAME,0;1;200004;0008,False,1,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,10;1;200004;0008,0;1;200004;0008,,same_as_control_cluster,different_from_control_cluster,same_as_control_cluster,blank,same_cp,same_cp,same_cp,blank,matches_codeline,matches_codeline,matches_codeline,blank,1WABK,BLANK,,1,1,0
200484,200004,ESCONDIDO,8,EAST LEG OF WYE TRACK,SIDING,ROUTE NAME,0;1;200004;0008,False,1,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,3EATK,,,1,0,0
200129,200005,ESCONDIDO,9,CRSTK,MAIN,ROUTE NAME,0;1;200005;0009,False,1,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,CRSTK,,,1,0,0
200145,200005,ESCONDIDO,9,1012BK,MAIN,ROUTE NAME,0;1;200005;0009,False,1,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,,same_as_control_cluster,same_as_control_cluster,same_as_control_cluster,blank,same_cp,same_cp,same_cp,blank,matches_codeline,matches_codeline,matches_codeline,blank,1012BK,,,1,0,0
200190,200006,ESCONDIDO,12,1042BK,MT1,ROUTE NAME,0;1;200006;0012,False,1,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1042BK,,,1,0,0
200191,200006,ESCONDIDO,12,1044BK,MT2,ROUTE NAME,0;1;200006;0012,False,1,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1044BK,,,1,0,0
200196,200006,ESCONDIDO,12,1RSTK,MT1,ROUTE NAME,0;1;200006;12,False,1,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1RSTK,,,1,0,0
200197,200006,ESCONDIDO,12,2RSTK,MT2,ROUTE NAME,0;1;200006;12,False,1,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,2RSTK,,,1,0,0
200198,200006,ESCONDIDO,12,1041BK,MT1,ROUTE NAME,0;1;200006;12,False,1,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1041BK,,,1,0,0
200199,200006,ESCONDIDO,12,1043BK,MT2,ROUTE NAME,0;1;200006;12,False,1,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,0;1;200006;12,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1043BK,,,1,0,0
200192,200007,ESCONDIDO,13,1052BK,MT1,ROUTE NAME,0;1;200006;13,False,1,0;1;200006;13,0;1;200006;13,0;1;200006;13,0;1;200006;13,0;1;200006;13,,,same_as_control_cluster,same_as_control_cluster,blank,blank,different_cp,different_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1052BK,,,1,0,0
200193,200007,ESCONDIDO,13,1054BK,MT2,ROUTE NAME,0;1;200006;13,False,1,0;1;200006;13,0;1;200006;13,0;1;200006;13,0;1;200006;13,0;1;200006;13,,,same_as_control_cluster,same_as_control_cluster,blank,blank,different_cp,different_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1054BK,,,1,0,0
200202,200007,ESCONDIDO,13,1CSTK,MT1,ROUTE NAME,0;1;200007;13,False,1,0;1;200007;13,0;1;200007;13,0;1;200007;13,0;1;200007;13,0;1;200007;13,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1CSTK,,,1,0,0
200203,200007,ESCONDIDO,13,2CSTK,MT2,ROUTE NAME,0;1;200007;13,False,1,0;1;200007;13,0;1;200007;13,0;1;200007;13,0;1;200007;13,0;1;200007;13,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,2CSTK,,,1,0,0
200218,200007,ESCONDIDO,13,TK,MAIN,ROUTE NAME,0;1;200007;0013,False,1,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200219,200007,ESCONDIDO,13,TK,MAIN,ROUTE NAME,0;1;200007;0013,False,1,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200220,200007,ESCONDIDO,13,TK,MAIN,ROUTE NAME,0;1;200007;0013,False,1,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200221,200007,ESCONDIDO,13,TK,MAIN,ROUTE NAME,0;1;200007;0013,False,1,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200224,200007,ESCONDIDO,13,1WABK,MAIN,ROUTE NAME,0;1;200007;0013,False,1,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,1WABK,,,1,0,0
200228,200007,ESCONDIDO,13,1062BK,MAIN,ROUTE NAME,0;1;200007;0013,False,1,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,,same_as_control_cluster,same_as_control_cluster,same_as_control_cluster,blank,same_cp,same_cp,same_cp,blank,matches_codeline,matches_codeline,matches_codeline,blank,1062BK,,,1,0,0
200154,200008,ESCONDIDO,11,1ECSTK,MT1,ROUTE NAME,0;1;200008;11,False,1,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1ECSTK,,,1,0,0
200155,200008,ESCONDIDO,11,2ECSTK,MT2,ROUTE NAME,0;1;200008;11,False,1,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,2ECSTK,,,1,0,0
200194,200008,ESCONDIDO,11,1031BK,MT1,ROUTE NAME,0;1;200008;0011,False,1,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,1031BK,,,1,0,0
200195,200008,ESCONDIDO,11,1033BK,MT2,ROUTE NAME,0;1;200008;0011,False,1,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1033BK,,,1,0,0
200200,200008,ESCONDIDO,11,1035BK,MT1,ROUTE NAME,0;1;200008;11,False,1,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1035BK,,,1,0,0
200201,200008,ESCONDIDO,11,1037BK,MT2,ROUTE NAME,0;1;200008;11,False,1,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,0;1;200008;11,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1037BK,,,1,0,0
200226,200009,ESCONDIDO,14,1072BK,MAIN,ROUTE NAME,0;1;200009;0014,False,1,0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,1072BK,,,1,0,0
200229,200009,ESCONDIDO,14,MSTK,MAIN,ROUTE NAME,0;1;200009;14,False,1,0;1;200009;14,0;1;200009;14,0;1;200009;14,0;1;200009;14,0;1;200009;14,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,MSTK,,,1,0,0
200230,200010,ESCONDIDO,15,1081BK,MT1,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1081BK,,,1,0,0
200231,200010,ESCONDIDO,15,1083BK,MT2,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1083BK,,,1,0,0
200232,200010,ESCONDIDO,15,1WABK,MT1,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1WABK,,,1,0,0
200233,200010,ESCONDIDO,15,2WABK,MT2,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,2WABK,,,1,0,0
200238,200010,ESCONDIDO,15,1EABK,MAIN,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,1EABK,,,1,0,0
200239,200010,ESCONDIDO,15,TK,MAIN,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;0;0;0000,,same_as_control_cluster,same_as_control_cluster,different_from_control_cluster,blank,same_cp,same_cp,zero_cp,blank,matches_codeline,matches_codeline,differs_from_codeline,blank,TK,,,1,0,0
200240,200010,ESCONDIDO,15,TK,MAIN,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200241,200010,ESCONDIDO,15,TK,MAIN,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
200242,200010,ESCONDIDO,15,TK,MAIN,ROUTE NAME,0;1;200010;0015,False,1,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,,,same_as_control_cluster,same_as_control_cluster,blank,blank,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,blank,blank,TK,,,1,0,0
