subdivision_name,type_of_switch,switch_point_monitor_mode,rcps_flag,rcps_control_token_count,rcps_indication_token_count,rcps_control_distinct_tokens,rcps_indication_distinct_tokens,switch_count,distinct_control_point_count,switch_examples,resolved_pctl_mnemonics,resolved_sctl_mnemonics
ESCONDIDO,NORMAL,False,False,4,5,0;1;200019,0;1;200019,1,1,200383:1-SWITCH,1NWS,1RWS
SAN DIEGO,DERAIL,False,False,4,5,0;1;100006,0;1;100006,1,1,100647:1-SWITCH,,
SAN DIEGO,DERAIL,False,False,4,5,0;1;100005,0;1;100005,1,1,100695:3-SWITCH,,
SAN DIEGO,NORMAL,False,False,4,5,0;1;100001,0;1;100001,1,1,100124:1-SWITCH,1NWS,1RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100003,0;1;100003,1,1,100145:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100025,0;1;100025,1,1,100187:1-SWITCH,1NWS,1 RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100009,0;1;100009,1,1,100220:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100012,0;1;100012,1,1,100253:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100016,0;1;100016,1,1,100312:1-SWITCH,1NWS,1RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100018,0;1;100018,1,1,100333:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100019,0;1;100019,1,1,100353:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100022,0;1;100022,1,1,100385:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100024,0;1;100024,1,1,100407:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100011,0;1;100011,1,1,100708:1-SWITCH,1NWS,1RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100000,0;1;100000,1,1,100730:1-SWITCH,1NWS,1RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100015,0;1;100015,1,1,100825:1-SWITCH,NWS,RWS
SAN DIEGO,NORMAL,False,False,4,5,0;1;100023,0;1;100023,1,1,100899:1-SWITCH,NWS,RWS
SAN DIEGO,SPM ONLY,True,False,4,5,0;1;100018,0;1;100018,1,1,100236:PONTO HOUSE TRACK,,
SAN DIEGO,SPM ONLY,True,False,4,5,0;1;100013,0;1;100013,1,1,100241:EAST LEG ESCONDIDO JCT,,
SAN DIEGO,SPM ONLY,True,False,4,5,0;1;100017,0;1;100017,1,1,100243:SDGE HOUSE TRACK,,
SAN DIEGO,SPM ONLY,True,False,4,5,0;1;100027,0;1;100027,1,1,100601:MIRAMAR WYE,,
