reference_column,component_uid,component_name,parent_control_point_uid,parent_control_point_name,subdivision_name,raw_reference_value,reference_format,diagnostic_rule,local_code_line,local_code_station_number,local_bit_token,diagnostic_match_count,diagnostic_status,diagnostic_candidate_mnemonics,diagnostic_candidate_long_names,diagnostic_candidate_family_set,diagnostic_candidate_examples,cp_triplet_same_raw,cp_triplet_same_diagnostic_status,cp_triplet_same_candidate_examples
CPIND12,200007,SCHOOL,200007,SCHOOL,ESCONDIDO,0;0;200007;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,13,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200007,SCHOOL,200007,SCHOOL,ESCONDIDO,0;0;200007;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,13,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND11,200008,EL CAMINO,200008,EL CAMINO,ESCONDIDO,0;0;200008;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,11,1,1,1,one_candidate,BLANK,BLANK,blank,1=BLANK:BLANK,True,True,True
CPIND12,200008,EL CAMINO,200008,EL CAMINO,ESCONDIDO,0;0;200008;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,11,1,1,1,one_candidate,BLANK,BLANK,blank,1=BLANK:BLANK,True,True,True
CPIND13,200008,EL CAMINO,200008,EL CAMINO,ESCONDIDO,0;0;200008;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,11,1,1,1,one_candidate,BLANK,BLANK,blank,1=BLANK:BLANK,True,True,True
CPIND11,200009,MELROSE,200009,MELROSE,ESCONDIDO,0;0;200009;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,14,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND12,200009,MELROSE,200009,MELROSE,ESCONDIDO,0;0;200009;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,14,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND13,200009,MELROSE,200009,MELROSE,ESCONDIDO,0;0;200009;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,14,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
CPIND11,200010,ANGEL,200010,ANGEL,ESCONDIDO,0;0;200010;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,15,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND12,200010,ANGEL,200010,ANGEL,ESCONDIDO,0;0;200010;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,15,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND13,200010,ANGEL,200010,ANGEL,ESCONDIDO,0;0;200010;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,15,1,1,1,one_candidate,1NWK,1 NORMAL SWITCH INDICATION,switch_indication,1=1NWK:1 NORMAL SWITCH INDICATION,True,True,True
CPIND11,200011,VISTA,200011,VISTA,ESCONDIDO,0;0;200011;1,code_line_station_control_point_bit,parent_station_local_bit_lookup,16,1,1,1,one_candidate,BLANK,BLANK INDICATION,blank,1=BLANK:BLANK INDICATION,True,True,True
