signal_uid,control_point_uid,subdivision_name,codeline,signal_name,tool_tip_name,signal_type,authority_type,territory_assignment,subdivision_number,in_time_type,call_on_flag,near_side_signal_enabled,holding_signal,fleeting,stacking,blocking,allow_automatic_mode,call_on_controlled,signal_controlled,pind_raw,pctl_raw,sind_raw,sctl_raw,tind_raw,tctl_raw,fleet_control_bit_raw,in_time_bit_raw,near_side_signal_bit_control_raw,near_side_signal_bit_indication_raw,call_on_bit_raw,block_ind_bit_raw,pctl_primary_part,pctl_secondary_part,sctl_primary_part,sctl_secondary_part,tctl_primary_part,tctl_secondary_part,tctl_equals_sctl_raw,tind_equals_sind_raw,fleet_equals_tind_raw,pctl_secondary_equals_sctl_primary,pctl_secondary_equals_tctl_primary,sctl_primary_equals_tctl_primary,sctl_secondary_equals_tctl_primary,sctl_secondary_equals_tctl_secondary,near_side_ctl_equals_ind,call_on_non_default_matches_flag,entry_route_count,exit_route_count,route_total_count,pind_cp_alignment,sind_cp_alignment,tind_cp_alignment,fleet_cp_alignment,in_time_cp_alignment,near_side_ctl_cp_alignment,near_side_ind_cp_alignment,call_on_cp_alignment,pctl_primary_cp_alignment,pctl_secondary_cp_alignment,sctl_primary_cp_alignment,sctl_secondary_cp_alignment,tctl_primary_cp_alignment,tctl_secondary_cp_alignment,pind_resolved_count,pind_resolved_mnemonics,pind_resolved_long_names,pctl_resolved_count,pctl_unresolved_count,pctl_resolved_mnemonics,pctl_resolved_long_names,sind_resolved_count,sind_unresolved_count,sind_resolved_mnemonics,sind_resolved_long_names,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_count,tctl_unresolved_count,tctl_resolved_mnemonics,tctl_resolved_long_names,tind_resolved_count,tind_unresolved_count,fleet_resolved_count,fleet_unresolved_count,in_time_resolved_count,in_time_unresolved_count,in_time_resolved_mnemonics,in_time_resolved_long_names,near_side_ctl_resolved_count,near_side_ctl_unresolved_count,near_side_ctl_default_zero_count,near_side_ctl_resolved_mnemonics,near_side_ind_resolved_count,near_side_ind_unresolved_count,near_side_ind_default_zero_count,near_side_ind_resolved_mnemonics,call_on_resolved_count,call_on_unresolved_count,call_on_default_zero_count,call_on_resolved_mnemonics,call_on_resolved_long_names,block_ind_resolved_count,block_ind_unresolved_count,block_ind_default_zero_count
200150,200004,ESCONDIDO,8,EBNS COAST,EBNS COAST,R,CTC,200,1,INTIMEBIT,False,True,True,True,True,True,False,,,11;1;200004;0008,11;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,21;1;200004,12;1;200004;0008,12;1;200004;0008,0;0;0;0,0;0;0;0,11;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,CHEGK,SIGNAL CLEAR,1,1,CHEGHS,SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,CHETEK,NEAR SIDE IN-TIME,1,0,0,1ENSSZ,1,0,0,1ENSSK,0,0,1,,,0,0,1
200157,200004,ESCONDIDO,8,E-SIGNAL,E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,3;1;200004;0008,3;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,5;1;200004,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,3;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EGK,EASTBOUND SIGNAL INDICATION,1,1,EGHS,EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200158,200004,ESCONDIDO,8,E-SIGNAL,E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,3;1;200004;0008,3;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,5;1;200004,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,3;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EGK,EASTBOUND SIGNAL INDICATION,1,1,EGHS,EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200164,200004,ESCONDIDO,8,W-SIGNAL,W-SIGNAL,L,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,4;1;200004;0008,4;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,5;1;200004,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,4;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,True,True,True,True,True,True,True,True,True,True,2,2,4,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,WGK,WESTBOUND SIGNAL INDICATION,1,1,WGHS,WESTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200169,200005,ESCONDIDO,9,1E-SIGNAL,1E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,True,True,True,True,True,False,,,3;1;200005;0009,3;1;200005;0009|0;1;200005;0009,0;1;200005;0009,0;1;200005;0009|0;1;200005;0009,0;1;200005;0009,0;1;200005;0009|0;1;200005;0009,0;1;200005;0009,7;1;200005,4;1;200005;0009,4;1;200005;0009,0;0;0;0,0;0;0;0,3;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,True,True,True,True,True,True,True,True,True,True,2,2,4,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,CREGK,SIGNAL CLEAR,1,1,CREGHS,SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,CRETEK,TEK,1,0,0,1ENSSZ,1,0,0,1ENSSK,0,0,1,,,0,0,1
200173,200005,ESCONDIDO,9,1W-SIGNAL,1W-SIGNAL,L,CTC,200,1,INTIMEBIT,False,True,True,True,True,True,False,,,5;1;200005;0009,5;1;200005;0009|0;1;200005;0009,0;1;200005;0009,0;1;200005;0009|0;1;200005;0009,0;1;200005;0009,0;1;200005;0009|0;1;200005;0009,0;1;200005;0009,8;1;200005,6;1;200005;0009,6;1;200005;0009,0;0;0;0,0;0;0;0,5;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,CRWGK,SIGNAL CLEAR,1,1,CRWGHS,SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,CRWTEK,TEK,1,0,0,1WNSSZ,1,0,0,1WNSSK,0,0,1,,,0,0,1
200170,200006,ESCONDIDO,12,1E-SIGNAL,1E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,True,True,True,True,True,False,,,5;1;200006;0012,5;1;200006;0012|0;1;200006;0012,0;1;200006;0012,0;1;200006;0012|0;1;200006;0012,0;1;200006;0012,0;1;200006;0012|0;1;200006;0012,0;1;200006;0012,8;1;200006,6;1;200006;0012,6;1;200006;0012,0;0;0;0,0;0;0;0,5;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,True,True,True,True,True,True,True,True,True,True,1,0,1,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,R2EGK,SIGNAL CLEAR,1,1,R2EGHS,SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,R2ETEK,SIGNAL CLEAR,1,0,0,R2EGNS,1,0,0,R2EGNK,0,0,1,,,0,0,1
200171,200006,ESCONDIDO,12,1E-SIGNAL,1E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,True,True,True,True,True,False,,,3;1;200006;0012,3;1;200006;0012|0;1;200006;0012,0;1;200006;0012,0;1;200006;0012|0;1;200006;0012,0;1;200006;0012,0;1;200006;0012|0;1;200006;0012,0;1;200006;0012,7;1;200006,4;1;200006;0012,4;1;200006;0012,0;0;0;0,0;0;0;0,3;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,True,True,True,True,True,True,True,True,True,True,1,0,1,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,R1EGK,SIGNAL CLEAR,1,1,R1EGHS,SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,R1ETEK,SIGNAL CLEAR,1,0,0,R1EGNS,1,0,0,R1EGNK,0,0,1,,,0,0,1
200216,200007,ESCONDIDO,13,E-SIGNAL,E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,True,False,True,True,True,False,,,3;1;200007;0013,3;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,5;1;200007,7;1;200007;0013,7;1;200007;0013,0;0;0;0,0;0;0;0,3;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,True,True,True,True,True,True,True,True,True,True,1,0,1,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EGK,EASTBOUND SIGNAL INDICATION,1,1,EGHS,EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,1,0,0,EGNS,1,0,0,EGNK,0,0,1,,,0,0,1
200217,200007,ESCONDIDO,13,E-SIGNAL,E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,True,False,True,True,True,False,,,3;1;200007;0013,3;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,5;1;200007,7;1;200007;0013,7;1;200007;0013,0;0;0;0,0;0;0;0,3;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,True,True,True,True,True,True,True,True,True,True,1,0,1,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EGK,EASTBOUND SIGNAL INDICATION,1,1,EGHS,EASTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,1,0,0,EGNS,1,0,0,EGNK,0,0,1,,,0,0,1
200223,200007,ESCONDIDO,13,W-SIGNAL,W-SIGNAL,L,CTC,200,1,INTIMEBIT,False,False,False,True,True,True,False,,,4;1;200007;0013,4;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,5;1;200007,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,4;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,True,True,True,True,True,True,True,True,True,True,2,6,8,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,default_zero,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,WGK,WESTBOUND SIGNAL INDICATION,1,1,WGHS,WESTBOUND SIGNAL CONTROL,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,TEK,SIGNAL INTIME INDICATION,0,0,1,,0,0,1,,0,0,1,,,0,0,1
200167,200008,ESCONDIDO,11,1E-SIGNAL,1E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,True,True,True,True,True,False,,,3;1;200008;0011,3;1;200008;0011|0;1;200008;0011,0;1;200008;0011,0;1;200008;0011|0;1;200008;0011,0;1;200008;0011,0;1;200008;0011|0;1;200008;0011,0;1;200008;0011,7;1;200008,4;1;200008;0011,4;1;200008;0011,0;0;0;0,0;0;0;0,3;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EC1EGK,MAIN 1 SIGNAL CLEAR,1,1,EC1EGHS,MAIN 1 SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,EC1ETEK,MAIN 1 INTIME,1,0,0,EC1EGNS,1,0,0,EC1EGNK,0,0,1,,,0,0,1
200172,200008,ESCONDIDO,11,1E-SIGNAL,1E-SIGNAL,R,CTC,200,1,INTIMEBIT,False,True,True,True,True,True,False,,,5;1;200008;0011,5;1;200008;0011|0;1;200008;0011,0;1;200008;0011,0;1;200008;0011|0;1;200008;0011,0;1;200008;0011,0;1;200008;0011|0;1;200008;0011,0;1;200008;0011,8;1;200008,6;1;200008;0011,6;1;200008;0011,0;0;0;0,0;0;0;0,5;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,True,True,True,True,True,True,True,True,True,True,1,1,2,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,default_zero,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,1,EC2EGK,MAIN 2 SIGNAL CLEAR,1,1,EC2EGHS,MAIN 2 SIGNAL CLEAR,0,1,,,0,2,,,0,2,,,0,1,0,1,1,0,EC2ETEK,MAIN 2 INTIME,1,0,0,EC2EGNS,1,0,0,EC2EGNK,0,0,1,,,0,0,1
