track_uid,control_point_uid,subdivision_name,codeline,track_name,track_type,track_name_group,territory_assignment,authority_type,route_name,turn_out_track,os_reporting,track_uid_raw,pind_raw,sind_raw,tind_raw,pctl_raw,sctl_raw,tctl_raw,qind_raw,qctl_raw,track_lock_bit_raw,track_blocking_references_raw,control_cluster_raw,control_cluster_distinct_count,control_cluster_all_equal,pctl_equals_tctl,pctl_equals_sctl,sctl_equals_tctl,sind_equals_tind,qctl_equals_control_cluster,qind_equals_tind,pind_cp_alignment,sind_cp_alignment,tind_cp_alignment,pctl_cp_alignment,sctl_cp_alignment,tctl_cp_alignment,qind_cp_alignment,qctl_cp_alignment,pind_trailing_alignment,sind_trailing_alignment,tind_trailing_alignment,pctl_trailing_alignment,sctl_trailing_alignment,tctl_trailing_alignment,qind_trailing_alignment,qctl_trailing_alignment,pind_resolved_count,pind_unresolved_count,pind_resolved_mnemonics,pind_resolved_long_names,sind_resolved_count,sind_unresolved_count,sind_resolved_mnemonics,sind_resolved_long_names,tind_resolved_count,tind_unresolved_count,pctl_resolved_count,pctl_unresolved_count,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sctl_resolved_long_names,tctl_resolved_count,tctl_unresolved_count,qind_resolved_count,qind_unresolved_count,qind_default_zero_count,qctl_resolved_count,qctl_unresolved_count,qctl_default_zero_count,trackblocking_unresolved_count,trackblocking_default_zero_count
200121,200002,ESCONDIDO,7,1EABK,T,MAIN,200,CTC,ROUTE NAME,False,False,0,21;1;200002;7,0;1;200002;7,0;1;200002;7,0;1;200002;7,0;1;200002;7,0;1;200002;7,,,0;0;0;0,,0;1;200002;7,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,1EABK,"MAIN 1, EAST TRACK INDICATION",0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200122,200002,ESCONDIDO,7,1TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,13;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,1TK,1 OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200125,200002,ESCONDIDO,7,1TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,13;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,1TK,1 OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200134,200002,ESCONDIDO,7,3EABK,T,ESCON CON TRACK,200,CTC-OTHER,ROUTE NAME,False,False,0,25;1;200002;0007,11;1;200002;0007,0;1;200002;0007,0;1;200002;0007,11;1;200002;0007,0;1;200002;0007,,0;1;0;0000,0;0;0;0,,0;1;200002;0007|11;1;200002;0007,2,False,True,False,False,False,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,zero_cp,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,differs_from_codeline,1,0,3EABK,MAIN 3 EAST TRACK INDICATION,1,0,3WBLK,TRACK BLOCK,0,1,0,1,1,0,3WBLZ,25 TRACK BLOCK,0,1,0,0,0,0,1,0,0,0
200135,200002,ESCONDIDO,7,3TK,T,ESCON CON,200,CTC,ROUTE NAME,False,True,0,14;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,3TK,3 OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200136,200002,ESCONDIDO,7,3TK,T,ESCON CON,200,CTC,ROUTE NAME,False,True,0,14;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,3TK,3 OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200137,200002,ESCONDIDO,7,3TK,T,ESCON CON,200,CTC,ROUTE NAME,False,True,0,14;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,3TK,3 OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200140,200002,ESCONDIDO,7,VERSAFORM TRACK,T,ESCON CON TRACK,200,CTC-OTHER,ROUTE NAME,False,False,0,22;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,3WATK,3WATK,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
200510,200002,ESCONDIDO,7,1TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,13;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,0;1;0;0000,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,zero_cp,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,differs_from_codeline,1,0,1TK,1 OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,1,0,0,0
200534,200002,ESCONDIDO,7,1TK,T,MAIN,200,CTC,ROUTE NAME,False,True,0,13;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,,,0;0;0;0,,0;1;200002;0007,1,True,True,True,True,True,False,False,same_cp,same_cp,same_cp,same_cp,same_cp,same_cp,blank,blank,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,matches_codeline,blank,blank,1,0,1TK,1 OS TRACK INDICATION,0,1,,,0,1,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0
