component_family,assignment_owner_type,reference_column,reference_kind,reference_format,subdivision_name,row_count,distinct_component_count,distinct_parent_control_point_count,distinct_raw_reference_count,cp_alignment_same_cp_count,cp_alignment_different_cp_count,cp_alignment_zero_cp_count,cp_alignment_unparsed_count,trailing_matches_codeline_count,trailing_differs_from_codeline_count,trailing_default_zero_count,trailing_blank_count,station_names,raw_reference_examples,sample_component_paths
control_point,direct_control_point_slot,CPIND6,indication,code_line_station_control_point,SAN DIEGO,25,25,25,25,25,0,0,0,0,0,0,25,CP ASH|CP BROADWAY|CP CARDIFF|CP CARL|CP CONVAIR|CP CROSBY|CP CUDAHY|CP DEL MAR|CP DON|CP ESCONDIDO JCT|CP FARR|CP MESA|CP MIRAMAR|CP PACIFIC|CP PONTO|CP PULGAS|CP ROSE|CP SCRIPPS|CP SHELL|CP SONGS|CP SORRENTO|CP STUART|CP SWAMI|CP TORREY|CP VALLEY,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,CARL:CARL|SONGS:SONGS|DON:DON|PULGAS:PULGAS|CUDAHY:CUDAHY|STUART:STUART|MESA:MESA|ROSE:ROSE|BROADWAY:BROADWAY|SORRENTO:SORRENTO|PACIFIC:PACIFIC|SHELL:SHELL
control_point,direct_control_point_slot,CPIND7,indication,code_line_station_control_point,SAN DIEGO,25,25,25,25,25,0,0,0,0,0,0,25,CP ASH|CP BROADWAY|CP CARDIFF|CP CARL|CP CONVAIR|CP CROSBY|CP CUDAHY|CP DEL MAR|CP DON|CP ESCONDIDO JCT|CP FARR|CP MESA|CP MIRAMAR|CP PACIFIC|CP PONTO|CP PULGAS|CP ROSE|CP SCRIPPS|CP SHELL|CP SONGS|CP SORRENTO|CP STUART|CP SWAMI|CP TORREY|CP VALLEY,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,CARL:CARL|SONGS:SONGS|DON:DON|PULGAS:PULGAS|CUDAHY:CUDAHY|STUART:STUART|MESA:MESA|ROSE:ROSE|BROADWAY:BROADWAY|SORRENTO:SORRENTO|PACIFIC:PACIFIC|SHELL:SHELL
control_point,direct_control_point_slot,CPIND8,indication,code_line_station_control_point,SAN DIEGO,25,25,25,25,25,0,0,0,0,0,0,25,CP ASH|CP BROADWAY|CP CARDIFF|CP CARL|CP CONVAIR|CP CROSBY|CP CUDAHY|CP DEL MAR|CP DON|CP ESCONDIDO JCT|CP FARR|CP MESA|CP MIRAMAR|CP PACIFIC|CP PONTO|CP PULGAS|CP ROSE|CP SCRIPPS|CP SHELL|CP SONGS|CP SORRENTO|CP STUART|CP SWAMI|CP TORREY|CP VALLEY,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,CARL:CARL|SONGS:SONGS|DON:DON|PULGAS:PULGAS|CUDAHY:CUDAHY|STUART:STUART|MESA:MESA|ROSE:ROSE|BROADWAY:BROADWAY|SORRENTO:SORRENTO|PACIFIC:PACIFIC|SHELL:SHELL
control_point,direct_control_point_slot,CPIND9,indication,code_line_station_control_point,SAN DIEGO,25,25,25,25,25,0,0,0,0,0,0,25,CP ASH|CP BROADWAY|CP CARDIFF|CP CARL|CP CONVAIR|CP CROSBY|CP CUDAHY|CP DEL MAR|CP DON|CP ESCONDIDO JCT|CP FARR|CP MESA|CP MIRAMAR|CP PACIFIC|CP PONTO|CP PULGAS|CP ROSE|CP SCRIPPS|CP SHELL|CP SONGS|CP SORRENTO|CP STUART|CP SWAMI|CP TORREY|CP VALLEY,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,CARL:CARL|SONGS:SONGS|DON:DON|PULGAS:PULGAS|CUDAHY:CUDAHY|STUART:STUART|MESA:MESA|ROSE:ROSE|BROADWAY:BROADWAY|SORRENTO:SORRENTO|PACIFIC:PACIFIC|SHELL:SHELL
control_point,direct_control_point_slot,CPCTL1,control,code_line_station_control_point,ESCONDIDO,23,23,23,23,23,0,0,0,0,0,0,23,ANGEL|AVENUE|AVO|BUENA CREEK|CROUCH|EL CAMINO|ESCON|HOLDOUT|LOOP EAST|LOOP WEST|MELROSE|MISSY|NORDAHL|OCEAN TC|PALOMAR|RAILROAD|RANCHO|SCHOOL|SHELLY|TRUE|VISTA|WYE|YARD,0;1;200000|0;1;200002|0;1;200003|0;1;200004|0;1;200005|0;1;200006|0;1;200007|0;1;200008|0;1;200009|0;1;200010|0;1;200011|0;1;200012,OCEAN:OCEAN|RAILROAD:RAILROAD|TRUE:TRUE|WYE:WYE|CROUCH:CROUCH|RANCHO:RANCHO|SCHOOL:SCHOOL|EL CAMINO:EL CAMINO|MELROSE:MELROSE|ANGEL:ANGEL|VISTA:VISTA|CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,direct_control_point_slot,CPCTL2,control,code_line_station_control_point,ESCONDIDO,23,23,23,23,23,0,0,0,0,0,0,23,ANGEL|AVENUE|AVO|BUENA CREEK|CROUCH|EL CAMINO|ESCON|HOLDOUT|LOOP EAST|LOOP WEST|MELROSE|MISSY|NORDAHL|OCEAN TC|PALOMAR|RAILROAD|RANCHO|SCHOOL|SHELLY|TRUE|VISTA|WYE|YARD,0;1;200000|0;1;200002|0;1;200003|0;1;200004|0;1;200005|0;1;200006|0;1;200007|0;1;200008|0;1;200009|0;1;200010|0;1;200011|0;1;200012,OCEAN:OCEAN|RAILROAD:RAILROAD|TRUE:TRUE|WYE:WYE|CROUCH:CROUCH|RANCHO:RANCHO|SCHOOL:SCHOOL|EL CAMINO:EL CAMINO|MELROSE:MELROSE|ANGEL:ANGEL|VISTA:VISTA|CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,direct_control_point_slot,CPCTL3,control,code_line_station_control_point,ESCONDIDO,23,23,23,23,23,0,0,0,0,0,0,23,ANGEL|AVENUE|AVO|BUENA CREEK|CROUCH|EL CAMINO|ESCON|HOLDOUT|LOOP EAST|LOOP WEST|MELROSE|MISSY|NORDAHL|OCEAN TC|PALOMAR|RAILROAD|RANCHO|SCHOOL|SHELLY|TRUE|VISTA|WYE|YARD,0;1;200000|0;1;200002|0;1;200003|0;1;200004|0;1;200005|0;1;200006|0;1;200007|0;1;200008|0;1;200009|0;1;200010|0;1;200011|0;1;200012,OCEAN:OCEAN|RAILROAD:RAILROAD|TRUE:TRUE|WYE:WYE|CROUCH:CROUCH|RANCHO:RANCHO|SCHOOL:SCHOOL|EL CAMINO:EL CAMINO|MELROSE:MELROSE|ANGEL:ANGEL|VISTA:VISTA|CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,direct_control_point_slot,CPCTL4,control,code_line_station_control_point,ESCONDIDO,23,23,23,23,23,0,0,0,0,0,0,23,ANGEL|AVENUE|AVO|BUENA CREEK|CROUCH|EL CAMINO|ESCON|HOLDOUT|LOOP EAST|LOOP WEST|MELROSE|MISSY|NORDAHL|OCEAN TC|PALOMAR|RAILROAD|RANCHO|SCHOOL|SHELLY|TRUE|VISTA|WYE|YARD,0;1;200000|0;1;200002|0;1;200003|0;1;200004|0;1;200005|0;1;200006|0;1;200007|0;1;200008|0;1;200009|0;1;200010|0;1;200011|0;1;200012,OCEAN:OCEAN|RAILROAD:RAILROAD|TRUE:TRUE|WYE:WYE|CROUCH:CROUCH|RANCHO:RANCHO|SCHOOL:SCHOOL|EL CAMINO:EL CAMINO|MELROSE:MELROSE|ANGEL:ANGEL|VISTA:VISTA|CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,direct_control_point_slot,CPCTL5,control,code_line_station_control_point,ESCONDIDO,23,23,23,23,23,0,0,0,0,0,0,23,ANGEL|AVENUE|AVO|BUENA CREEK|CROUCH|EL CAMINO|ESCON|HOLDOUT|LOOP EAST|LOOP WEST|MELROSE|MISSY|NORDAHL|OCEAN TC|PALOMAR|RAILROAD|RANCHO|SCHOOL|SHELLY|TRUE|VISTA|WYE|YARD,0;1;200000|0;1;200002|0;1;200003|0;1;200004|0;1;200005|0;1;200006|0;1;200007|0;1;200008|0;1;200009|0;1;200010|0;1;200011|0;1;200012,OCEAN:OCEAN|RAILROAD:RAILROAD|TRUE:TRUE|WYE:WYE|CROUCH:CROUCH|RANCHO:RANCHO|SCHOOL:SCHOOL|EL CAMINO:EL CAMINO|MELROSE:MELROSE|ANGEL:ANGEL|VISTA:VISTA|CIVIC CTR VISTA:CIVIC CTR VISTA
control_point,direct_control_point_slot,CPIND10,indication,code_line_station_control_point,ESCONDIDO,23,23,23,23,23,0,0,0,0,0,0,23,ANGEL|AVENUE|AVO|BUENA CREEK|CROUCH|EL CAMINO|ESCON|HOLDOUT|LOOP EAST|LOOP WEST|MELROSE|MISSY|NORDAHL|OCEAN TC|PALOMAR|RAILROAD|RANCHO|SCHOOL|SHELLY|TRUE|VISTA|WYE|YARD,0;1;200000|0;1;200002|0;1;200003|0;1;200004|0;1;200005|0;1;200006|0;1;200007|0;1;200008|0;1;200009|0;1;200010|0;1;200011|0;1;200012,OCEAN:OCEAN|RAILROAD:RAILROAD|TRUE:TRUE|WYE:WYE|CROUCH:CROUCH|RANCHO:RANCHO|SCHOOL:SCHOOL|EL CAMINO:EL CAMINO|MELROSE:MELROSE|ANGEL:ANGEL|VISTA:VISTA|CIVIC CTR VISTA:CIVIC CTR VISTA
