code_line_number,code_line_name,code_station_number,station_name,control_point_number,control_point_name,ptc_site_name,subdivision_uid,subdivision_name,territory_assignment,control_address,indication_address,number_of_controls,number_of_indications,signal_count,track_count,switch_count,misc_device_count,route_count,component_reference_resolved_count,component_reference_unresolved_count,component_reference_default_zero_count,cp_reference_resolved_count,cp_reference_unresolved_count,cp_reference_default_zero_count,direct_cp_resolved_count,direct_cp_unresolved_count,misc_device_cp_resolved_count,misc_device_cp_unresolved_count
11,CDLN-11,1,EL CAMINO,200008,EL CAMINO,,1,ESCONDIDO,200,38,38,48,48,2,6,0,4,2,24,82,36,8,34,8,4,14,4,20
12,CDLN-12,1,RANCHO,200006,RANCHO,,1,ESCONDIDO,200,36,36,48,48,2,6,0,0,2,20,61,36,4,14,8,4,14,0,0
13,CDLN-13,1,SCHOOL,200007,SCHOOL,,1,ESCONDIDO,200,34,34,48,48,3,10,1,12,4,43,166,56,16,74,8,4,14,12,60
14,CDLN-14,1,MELROSE,200009,MELROSE,,1,ESCONDIDO,200,32,32,48,48,1,2,0,2,2,13,44,19,6,24,8,4,14,2,10
15,CDLN-15,1,ANGEL,200010,ANGEL,,1,ESCONDIDO,200,30,30,48,48,3,9,1,6,4,32,130,57,10,44,8,4,14,6,30
16,CDLN-16,1,VISTA,200011,VISTA,,1,ESCONDIDO,200,28,28,48,48,2,6,0,6,2,24,97,36,8,46,8,2,16,6,30
17,CDLN-17,1,ESCON,200012,CIVIC CTR VISTA,,1,ESCONDIDO,200,26,26,48,48,2,4,0,4,2,22,73,30,8,34,8,4,14,4,20
18,CDLN-18,1,AVENUE,200013,AVENUE,,1,ESCONDIDO,200,24,24,24,48,3,7,1,4,4,28,109,51,8,34,8,4,14,4,20
19,CDLN-19,1,BUENA CREEK,200014,BUENA CREEK,,1,ESCONDIDO,200,22,22,24,48,1,2,0,4,2,15,53,19,8,34,8,4,14,4,20
20,CDLN-20,1,MISSY,200016,MISSY,,1,ESCONDIDO,200,20,20,48,48,3,6,1,5,4,32,109,44,9,39,8,4,14,5,25
21,CDLN-21,1,PALOMAR,200015,PALOMAR,,1,ESCONDIDO,200,18,18,48,48,2,6,0,4,2,24,81,36,8,34,8,4,14,4,20
22,CDLN-22,1,LOOP WEST,200017,LOOP WEST,,1,ESCONDIDO,200,16,16,48,48,6,13,1,10,7,59,191,82,14,64,8,4,14,10,50
23,CDLN-23,1,SHELLY,200020,SHELLY,,1,ESCONDIDO,200,12,12,48,48,3,8,1,2,4,27,104,54,6,24,8,4,14,2,10
24,CDLN-24,1,LOOP EAST,200019,LOOP EAST,,1,ESCONDIDO,200,10,10,48,48,3,7,1,6,4,30,122,51,10,44,8,4,14,6,30
25,CDLN-25,1,NORDAHL,200025,NORDAHL,,1,ESCONDIDO,200,8,8,48,48,2,2,0,4,3,20,63,24,8,34,8,4,14,4,20
26,CDLN-26,1,HOLDOUT,200026,HOLDOUT,,1,ESCONDIDO,200,6,6,48,48,2,6,0,5,3,17,90,40,5,43,8,0,18,5,25
27,CDLN-27,1,YARD,200027,YARD,,1,ESCONDIDO,200,4,4,48,48,6,22,9,13,16,103,381,121,19,77,8,4,14,15,63
28,CDLN-28,1,AVO,200028,AVO,,1,ESCONDIDO,200,2,2,24,24,2,8,1,0,2,17,88,56,0,18,8,0,18,0,0
