subdivision_uid,subdivision_name,territory_assignments,live_code_line_count,code_line_numbers,code_line_names,legacy_types,session_protocols,normal_codeserver_names,standby_codeserver_names,packet_switch_primary_names,packet_switch_secondary_names,packet_switch_primary_ips,packet_switch_secondary_ips,link_layer_types,link_layer_protocols,address_atcs_values,station_row_count,control_point_row_count,control_point_uid_prefixes,control_assignment_count,indication_assignment_count,signal_count,track_count,switch_count,misc_device_count,route_count
1,ESCONDIDO,200,23,6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28,CDLN-6|CDLN-7|CDLN-8|CDLN-9|CDLN-10|CDLN-11|CDLN-12|CDLN-13|CDLN-14|CDLN-15|CDLN-16|CDLN-17|CDLN-18|CDLN-19|CDLN-20|CDLN-21|CDLN-22|CDLN-23|CDLN-24|CDLN-25|CDLN-26|CDLN-27|CDLN-28,GENESYS,GENESYS,CODE-01A,CODE-01B,CP OCEAN|NONE,CP OCEAN|NONE,127.0.0.1,127.0.0.1,PORTAL,TCP,0,23,23,200xxx,1032,1080,64,164,24,108,91
2,SAN DIEGO,100,1,5,CDLN-5,ATCS,0,CODE-02A,CODE-02B,WCC 3713,WCC 3714,172.20.20.218,172.20.20.219,0,0,2022000000,27,27,100xxx,468,591,101,280,75,11,200
