component_family,component_uid,parent_control_point_uid,component_name,component_secondary_name,component_detail_name,component_codeline,reference_column,reference_kind,raw_reference_value,raw_reference_part,part_index,reference_format,code_line_number,code_station_number,control_point_number,bit_position,token_1,token_2,token_3,token_4,expected_word_type,resolved_code_line_number,resolved_code_station_number,resolved_control_point_number,resolved_bp_assignment,resolved_word_type,resolved_mnemonic,resolved_long_name,resolved_bit_type,resolved_assignment_uid,match_status,resolution_method,is_default_zero_reference
control_point,100001,100001,SONGS,NULL,CP Songs,5,ScadaAlarmReportingIndicationBit,indication,0;1;100001,0;1;100001,1,code_line_station_control_point,0,1,100001,,0,1,100001,,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL1,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,C,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL10,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL11,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL12,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL13,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL2,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,C,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL3,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,C,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL4,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,C,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL5,control,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,C,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL6,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL7,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL8,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPCTL9,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100002,100002,DON,NULL,CP Don,5,CPIND1,indication,18;1;100002,18;1;100002,1,code_line_station_control_point,18,1,100002,,18,1,100002,,I,5,1,100002,18,I,LCK,LOCAL CONTROL INDICATION,None,B5DB2E26-6385-4B5B-8A97-3C8ABEC1351D,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND10,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND11,indication,0;0;100002;5,0;0;100002;5,1,code_line_station_control_point_bit,0,0,100002,5,0,0,100002,5,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND12,indication,0;0;100002;5,0;0;100002;5,1,code_line_station_control_point_bit,0,0,100002,5,0,0,100002,5,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND13,indication,0;0;100002;5,0;0;100002;5,1,code_line_station_control_point_bit,0,0,100002,5,0,0,100002,5,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND2,indication,17;1;100002,17;1;100002,1,code_line_station_control_point,17,1,100002,,17,1,100002,,I,5,1,100002,17,I,POK,POWER OFF INDICATION,None,3E4AEE9C-23CD-4DDB-9848-559779BCC973,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND3,indication,20;1;100002,20;1;100002,1,code_line_station_control_point,20,1,100002,,20,1,100002,,I,5,1,100002,20,I,LOK,LIGHT OUT INDICATION,None,D1CBC7CB-AF99-42D5-9889-4D3DC5EA1A61,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND4,indication,19;1;100002,19;1;100002,1,code_line_station_control_point,19,1,100002,,19,1,100002,,I,5,1,100002,19,I,DOK,DOOR OPEN INDICATION,None,07341768-168C-4C0A-847A-E28A31E2AF51,resolved,inferred_bp_assignment_station_control_point_via_unique_cp_line,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND5,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND6,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND7,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND8,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,CPIND9,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,I,,,,,,,,,,unresolved,,False
control_point,100002,100002,DON,NULL,CP Don,5,ScadaAlarmReportingIndicationBit,indication,0;1;100002,0;1;100002,1,code_line_station_control_point,0,1,100002,,0,1,100002,,I,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL1,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,,0,1,100003,,C,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL10,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL11,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL12,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL13,control,0;0;0;0,0;0;0;0,1,default_zero,,,,,0,0,0,0,C,,,,,,,,,,default_zero,,True
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL2,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,,0,1,100003,,C,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL3,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,,0,1,100003,,C,,,,,,,,,,unresolved,,False
control_point,100003,100003,PULGAS,NULL,CP Pulgas,5,CPCTL4,control,0;1;100003,0;1;100003,1,code_line_station_control_point,0,1,100003,,0,1,100003,,C,,,,,,,,,,unresolved,,False
