route_guid,system_uid,control_point_uid,control_point_name,entry_signal_uid,entry_signal_name,exit_signal_uid,exit_signal_name,switch_uid,switch_name,switch_tooltip_name,required_state,switch_order,switch_list_raw
194@100,7227F61183,100013,ESCONDIDO JCT,100738,6E-SIGNAL,100264,4W-SIGNAL,100779,1-SWITCH,1-SWITCH,TRUE,4,100735;7-SWITCH;FALSE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
194@100,7227F61183,100013,ESCONDIDO JCT,100738,6E-SIGNAL,100264,4W-SIGNAL,100782,1-SWITCH,1X,TRUE,5,100735;7-SWITCH;FALSE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
197@100,4C58A76444,100013,ESCONDIDO JCT,100257,2E-SIGNAL,100264,4W-SIGNAL,100275,3-SWITCH,3-SWITCH,FALSE,1,100275;3-SWITCH;FALSE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
197@100,4C58A76444,100013,ESCONDIDO JCT,100257,2E-SIGNAL,100264,4W-SIGNAL,100732,7-SWITCH,7X,TRUE,2,100275;3-SWITCH;FALSE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
197@100,4C58A76444,100013,ESCONDIDO JCT,100257,2E-SIGNAL,100264,4W-SIGNAL,100735,7-SWITCH,7-SWITCH,TRUE,3,100275;3-SWITCH;FALSE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
197@100,4C58A76444,100013,ESCONDIDO JCT,100257,2E-SIGNAL,100264,4W-SIGNAL,100756,5-SWITCH,5-SWITCH,TRUE,4,100275;3-SWITCH;FALSE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
197@100,4C58A76444,100013,ESCONDIDO JCT,100257,2E-SIGNAL,100264,4W-SIGNAL,100773,5-SWITCH,5X,TRUE,5,100275;3-SWITCH;FALSE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
197@100,4C58A76444,100013,ESCONDIDO JCT,100257,2E-SIGNAL,100264,4W-SIGNAL,100779,1-SWITCH,1-SWITCH,TRUE,6,100275;3-SWITCH;FALSE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
197@100,4C58A76444,100013,ESCONDIDO JCT,100257,2E-SIGNAL,100264,4W-SIGNAL,100782,1-SWITCH,1X,TRUE,7,100275;3-SWITCH;FALSE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
198@100,588CBC3AF4,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100288,2W-SIGNAL,100286,3-SWITCH,3X,TRUE,1,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;FALSE
198@100,588CBC3AF4,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100288,2W-SIGNAL,100275,3-SWITCH,3-SWITCH,TRUE,2,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;FALSE
198@100,588CBC3AF4,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100288,2W-SIGNAL,100732,7-SWITCH,7X,TRUE,3,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;FALSE
198@100,588CBC3AF4,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100288,2W-SIGNAL,100735,7-SWITCH,7-SWITCH,TRUE,4,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;FALSE
198@100,588CBC3AF4,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100288,2W-SIGNAL,100756,5-SWITCH,5-SWITCH,TRUE,5,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;FALSE
198@100,588CBC3AF4,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100288,2W-SIGNAL,100773,5-SWITCH,5X,TRUE,6,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;FALSE
198@100,588CBC3AF4,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100288,2W-SIGNAL,100779,1-SWITCH,1-SWITCH,FALSE,7,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;FALSE
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100286,3-SWITCH,3X,TRUE,1,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100275,3-SWITCH,3-SWITCH,TRUE,2,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100732,7-SWITCH,7X,TRUE,3,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
200@100,0EC9E7042A,100013,ESCONDIDO JCT,100258,4E-SIGNAL,100264,4W-SIGNAL,100735,7-SWITCH,7-SWITCH,TRUE,4,100286;3-SWITCH;TRUE|100275;3-SWITCH;TRUE|100732;7-SWITCH;TRUE|100735;7-SWITCH;TRUE|100756;5-SWITCH;TRUE|100773;5-SWITCH;TRUE|100779;1-SWITCH;TRUE|100782;1-SWITCH;TRUE
