route_guid,system_uid,control_point_uid,control_point_name,entry_signal_uid,entry_signal_name,exit_signal_uid,exit_signal_name,switch_uid,switch_name,switch_tooltip_name,required_state,switch_order,switch_list_raw
051@100,BEFAE24635,100020,CARDIFF,100916,4W-SIGNAL,100910,4E-SIGNAL,100914,3-SWITCH,3X,FALSE,1,100914;3-SWITCH;FALSE|100912;1-SWITCH;FALSE
051@100,BEFAE24635,100020,CARDIFF,100916,4W-SIGNAL,100910,4E-SIGNAL,100912,1-SWITCH,1X,FALSE,2,100914;3-SWITCH;FALSE|100912;1-SWITCH;FALSE
082@100,CB67CC02D6,100020,CARDIFF,100890,2W-SIGNAL,100910,4E-SIGNAL,100888,3-SWITCH,3-SWITCH,FALSE,1,100888;3-SWITCH;FALSE|100881;1-SWITCH;TRUE|100912;1-SWITCH;TRUE
082@100,CB67CC02D6,100020,CARDIFF,100890,2W-SIGNAL,100910,4E-SIGNAL,100881,1-SWITCH,1-SWITCH,TRUE,2,100888;3-SWITCH;FALSE|100881;1-SWITCH;TRUE|100912;1-SWITCH;TRUE
082@100,CB67CC02D6,100020,CARDIFF,100890,2W-SIGNAL,100910,4E-SIGNAL,100912,1-SWITCH,1X,TRUE,3,100888;3-SWITCH;FALSE|100881;1-SWITCH;TRUE|100912;1-SWITCH;TRUE
084@100,CDE9658480,100020,CARDIFF,100916,4W-SIGNAL,100874,2E-SIGNAL,100914,3-SWITCH,3X,TRUE,1,100914;3-SWITCH;TRUE|100888;3-SWITCH;TRUE|100881;1-SWITCH;FALSE
084@100,CDE9658480,100020,CARDIFF,100916,4W-SIGNAL,100874,2E-SIGNAL,100888,3-SWITCH,3-SWITCH,TRUE,2,100914;3-SWITCH;TRUE|100888;3-SWITCH;TRUE|100881;1-SWITCH;FALSE
084@100,CDE9658480,100020,CARDIFF,100916,4W-SIGNAL,100874,2E-SIGNAL,100881,1-SWITCH,1-SWITCH,FALSE,3,100914;3-SWITCH;TRUE|100888;3-SWITCH;TRUE|100881;1-SWITCH;FALSE
097@100,F61FA40FAB,100020,CARDIFF,100916,4W-SIGNAL,100910,4E-SIGNAL,100914,3-SWITCH,3X,TRUE,1,100914;3-SWITCH;TRUE|100888;3-SWITCH;TRUE|100881;1-SWITCH;TRUE|100912;1-SWITCH;TRUE
097@100,F61FA40FAB,100020,CARDIFF,100916,4W-SIGNAL,100910,4E-SIGNAL,100888,3-SWITCH,3-SWITCH,TRUE,2,100914;3-SWITCH;TRUE|100888;3-SWITCH;TRUE|100881;1-SWITCH;TRUE|100912;1-SWITCH;TRUE
097@100,F61FA40FAB,100020,CARDIFF,100916,4W-SIGNAL,100910,4E-SIGNAL,100881,1-SWITCH,1-SWITCH,TRUE,3,100914;3-SWITCH;TRUE|100888;3-SWITCH;TRUE|100881;1-SWITCH;TRUE|100912;1-SWITCH;TRUE
097@100,F61FA40FAB,100020,CARDIFF,100916,4W-SIGNAL,100910,4E-SIGNAL,100912,1-SWITCH,1X,TRUE,4,100914;3-SWITCH;TRUE|100888;3-SWITCH;TRUE|100881;1-SWITCH;TRUE|100912;1-SWITCH;TRUE
143@100,B7A0ABCBFA,100020,CARDIFF,100874,2E-SIGNAL,100890,2W-SIGNAL,100881,1-SWITCH,1-SWITCH,FALSE,1,100881;1-SWITCH;FALSE|100888;3-SWITCH;FALSE
143@100,B7A0ABCBFA,100020,CARDIFF,100874,2E-SIGNAL,100890,2W-SIGNAL,100888,3-SWITCH,3-SWITCH,FALSE,2,100881;1-SWITCH;FALSE|100888;3-SWITCH;FALSE
147@100,2BE3D1A5D8,100020,CARDIFF,100910,4E-SIGNAL,100916,4W-SIGNAL,100912,1-SWITCH,1X,FALSE,1,100912;1-SWITCH;FALSE|100914;3-SWITCH;FALSE
147@100,2BE3D1A5D8,100020,CARDIFF,100910,4E-SIGNAL,100916,4W-SIGNAL,100914,3-SWITCH,3X,FALSE,2,100912;1-SWITCH;FALSE|100914;3-SWITCH;FALSE
181@100,E4088625C3,100020,CARDIFF,100874,2E-SIGNAL,100916,4W-SIGNAL,100881,1-SWITCH,1-SWITCH,FALSE,1,100881;1-SWITCH;FALSE|100888;3-SWITCH;TRUE|100914;3-SWITCH;TRUE
181@100,E4088625C3,100020,CARDIFF,100874,2E-SIGNAL,100916,4W-SIGNAL,100888,3-SWITCH,3-SWITCH,TRUE,2,100881;1-SWITCH;FALSE|100888;3-SWITCH;TRUE|100914;3-SWITCH;TRUE
181@100,E4088625C3,100020,CARDIFF,100874,2E-SIGNAL,100916,4W-SIGNAL,100914,3-SWITCH,3X,TRUE,3,100881;1-SWITCH;FALSE|100888;3-SWITCH;TRUE|100914;3-SWITCH;TRUE
182@100,D4DCC53D4F,100020,CARDIFF,100910,4E-SIGNAL,100890,2W-SIGNAL,100912,1-SWITCH,1X,TRUE,1,100912;1-SWITCH;TRUE|100881;1-SWITCH;TRUE|100888;3-SWITCH;FALSE
182@100,D4DCC53D4F,100020,CARDIFF,100910,4E-SIGNAL,100890,2W-SIGNAL,100881,1-SWITCH,1-SWITCH,TRUE,2,100912;1-SWITCH;TRUE|100881;1-SWITCH;TRUE|100888;3-SWITCH;FALSE
182@100,D4DCC53D4F,100020,CARDIFF,100910,4E-SIGNAL,100890,2W-SIGNAL,100888,3-SWITCH,3-SWITCH,FALSE,3,100912;1-SWITCH;TRUE|100881;1-SWITCH;TRUE|100888;3-SWITCH;FALSE
