switch_uid,control_point_uid,subdivision_name,codeline,switch_name,track_name,type_of_switch,switch_point_monitor_mode,switch_lock_no_control,rcps_flag,rcps_control_token_count,rcps_control_distinct_token_count,rcps_control_distinct_tokens,rcps_control_all_tokens_same,rcps_indication_token_count,rcps_indication_distinct_token_count,rcps_indication_distinct_tokens,rcps_indication_all_tokens_same,lock_bit_raw,switch_block_bit_raw,pctl_resolved_count,pctl_unresolved_count,pctl_resolved_mnemonics,pind_resolved_count,pind_resolved_mnemonics,sctl_resolved_count,sctl_unresolved_count,sctl_resolved_mnemonics,sind_resolved_count,sind_resolved_mnemonics,tctl_unresolved_count,tind_unresolved_count,lockbit_unresolved_count,switchblk_default_zero_count
200472,200028,ESCONDIDO,28,7-SWITCH,MAIN,DERAIL,False,False,False,4,1,0;1;200028,True,5,1,0;1;200028,True,0;1;200028,8;1;200028,1,1,7RWS,1,7RWK,1,1,7NWS,1,7NWK,2,1,1,0
100730,100000,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100000,True,5,1,0;1;100000,True,0;1;100000,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100124,100001,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100001,True,5,1,0;1;100001,True,0;1;100001,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100238,100001,SAN DIEGO,5,EDISON POWER PLANT,MAIN2,SPM ONLY,True,False,False,4,1,0;1;100001,True,5,1,0;1;100001,True,0;1;100001,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100600,100001,SAN DIEGO,5,CP STUART LEAD,MAIN2,SPM ONLY,True,False,False,4,1,0;1;100001,True,5,1,0;1;100001,True,0;1;100001,0;0;0,0,2,,0,,0,2,,0,,2,1,1,1
100149,100002,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100002,True,5,1,0;1;100002,True,0;1;100002,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100150,100002,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100002,True,5,1,0;1;100002,True,0;1;100002,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100168,100002,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100002,True,5,1,0;1;100002,True,0;1;100002,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100169,100002,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100002,True,5,1,0;1;100002,True,0;1;100002,0;0;0,1,1,3NWS,1,3NWK,1,1,3RWS,1,3RWK,2,1,1,1
100145,100003,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,False,4,1,0;1;100003,True,5,1,0;1;100003,True,0;1;100003,0;0;0,1,1,NWS,1,NWK,1,1,RWS,1,RWK,2,1,1,1
100276,100004,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,False,4,1,0;1;100004,True,5,1,0;1;100004,True,0;1;100004,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
100282,100004,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,False,4,1,0;1;100004,True,5,1,0;1;100004,True,0;1;100004,0;0;0,1,1,1NWS,1,1NWK,1,1,1RWS,1,1RWK,2,1,1,1
