symbol,train_guid,engine_id,direction,train_type,origin,dest,subdivision,track_guid,track_component_name,track_name,track_alias,track_route_name,control_point_name,schedule_status,ptc_status,bulletin_route_code,authority_designation,ctc_authority_designation,home_road_code,active_sub_train_sheet,authority_count_by_symbol,runtime_join_status,runtime_loco_id,runtime_train_symbol,runtime_last_updated,runtime_icd_interface_version,runtime_departure_test_status,runtime_onboard_software_version,runtime_head_end_track_name,runtime_departure_track_name,runtime_departure_location_name
A581,31b247aa-c9ac-484f-9e86-738484260a00,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,CB618B19-3D4E-4A8A-B3F0-A8E6FA4CC9A1,0,engine_id_without_runtime_match,,,,,,,,,
A583,c23f59d7-b9f8-488f-ba64-c3bfc0807252,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,26740C7F-0294-4634-9438-A420CC123ECF,0,no_engine_id,,,,,,,,,
A584,7509b601-6b71-4fc3-913e-c311446dca55,,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,332A4A89-21F2-4D47-B114-E798468E0B4A,0,no_engine_id,,,,,,,,,
A586,fbfd8b95-b48d-417c-a190-9a1981097888,,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,624FCF8D-919F-4115-8FA9-B74BA7C58C95,0,no_engine_id,,,,,,,,,
A587,7d6a41a0-75f8-4503-bb5b-eb5790d5268e,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,C76091B1-0B44-4BD8-9749-8CDE28A9A249,0,engine_id_without_runtime_match,,,,,,,,,
A591,70e2c702-0fce-4e1e-9902-9f826e309ce5,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,D5B61A09-B0F1-4436-8CB1-A4ACB84A3733,0,engine_id_without_runtime_match,,,,,,,,,
A593,c63fca6e-6953-4c36-8e2c-3991a7d4d978,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,175EA6B9-9B8E-4AF7-9F40-785F6F169F73,0,engine_id_without_runtime_match,,,,,,,,,
A594,18276e07-0130-43da-953d-2728e5f9c1eb,,EAST,COMMUTER,LOS ANGELES,SAN DIEGO,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,58D10834-EF76-4D8A-B214-E708C1BE3052,0,no_engine_id,,,,,,,,,
A595,2e3e748f-c33c-4798-af17-288d10b9fb34,X,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,2,100156,SHELF,MT1,MT1,ROUTE NAME,ASH,NONE,,SANDIE,,,AMTK,9569B2B9-0653-48EB-89A9-968E30C8F813,0,engine_id_without_runtime_match,,,,,,,,,
A597,b35bd0fa-6781-4d33-b50b-62b5797f7489,,WEST,COMMUTER,SAN DIEGO,LOS ANGELES,NONE,0,,,,,,NONE,,SANDIE,,,AMTK,1A738EC2-180E-4613-8A8D-8655A20BC132,0,no_engine_id,,,,,,,,,
