subdivision_name,track_name_group,control_cluster_raw,tind_relation_to_control_cluster,tind_raw,sind_relation_to_control_cluster,sind_raw,qctl_relation_to_control_cluster,qctl_raw,qind_relation_to_control_cluster,qind_raw,track_count,control_cluster_split_count,distinct_control_point_count,track_examples,resolved_pind_mnemonics,resolved_sind_mnemonics,resolved_sctl_mnemonics
SAN DIEGO,MT2,0;1;100019;0005,different_from_control_cluster,0;1;100017;0005,different_from_control_cluster,20;1;100020;0005,same_as_control_cluster,0;1;100019;0005,blank,,1,0,1,100354:WAAK,WAAK,4EAK,
SAN DIEGO,MT2,0;1;100020;0005,same_as_control_cluster,0;1;100020;0005,different_from_control_cluster,12;1;100022;0005,different_from_control_cluster,0;1;100021;0000,blank,,1,0,1,100838:WAK,4WAK,EBAK,
SAN DIEGO,MT2,0;1;100027;0005,different_from_control_cluster,0;1;100018;0005,same_as_control_cluster,0;1;100027;0005,same_as_control_cluster,0;1;100027;0005,blank,,1,0,1,100445:WAK,4WAK,,
SAN DIEGO,MT2,0;1;100029;0000,different_from_control_cluster,0;1;100029;0005,different_from_control_cluster,0;1;100004;0005,same_as_control_cluster,0;1;100029;0000,different_from_control_cluster,0;0;100029;5,1,0,1,100474:4EAK,4EAK,,
SAN DIEGO,MT2,0;1;100031;0000,different_from_control_cluster,0;1;100031;0005,different_from_control_cluster,0;1;100004;0005,same_as_control_cluster,0;1;100031;0000,blank,,1,0,1,100496:4EAK,4EAK,,
SAN DIEGO,MT2,0;1;100035;0005,same_as_control_cluster,0;1;100035;0005,different_from_control_cluster,16;1;100004;0005,same_as_control_cluster,0;1;100035;0005,different_from_control_cluster,0;0;100035;5,1,0,1,100421:4W4EAK,4EAK,4WAK,
SAN DIEGO,MT3,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,different_from_control_cluster,0;0;100008;5,1,0,1,100318:EBAK,EBAK,,
SAN DIEGO,MT3,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,blank,,1,0,1,100542:4WAAK,4WAAK,,
SAN DIEGO,MT4,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,same_as_control_cluster,0;1;100008;0005,different_from_control_cluster,0;0;100008;5,1,0,1,100357:EAAK,EAAK,,
SAN DIEGO,MT4,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,blank,,1,0,1,100543:4WBAK,4WBAK,,
SAN DIEGO,OSD FREIGHT,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,blank,,1,0,1,100776:WBAK,WBAK,,
SAN DIEGO,OSD POCKET,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,different_from_control_cluster,33;1;100013;0005,same_as_control_cluster,0;1;100013;0005,blank,,1,0,1,100265:6EAK,WBAK,6EAK,
SAN DIEGO,OSD POCKET,0;1;100013;0005,different_from_control_cluster,0;1;100006;0005,same_as_control_cluster,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,blank,,1,0,1,100734:5TK,5TK,,
SAN DIEGO,OSD POCKET,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,same_as_control_cluster,0;1;100013;0005,different_from_control_cluster,0;0;100013;5,1,0,1,100746:5TK,5TK,,
SAN DIEGO,SIDING,0;1;100023;0005,different_from_control_cluster,0;1;100018;0005,different_from_control_cluster,0;1;100024;0005,same_as_control_cluster,0;1;100023;0005,blank,,1,0,1,100399:EBAK,EBAK,,
SAN DIEGO,STATION1-2,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,blank,,1,0,1,100741:STATION1-2,,,
SAN DIEGO,STATION3-4,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,same_as_control_cluster,0;1;100033;0005,blank,,1,0,1,100742:STATION3-4,,,
SAN DIEGO,WYE,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,same_as_control_cluster,0;1;100002;0005,default_zero,0;0;0;0,1,0,1,100172:4WAK,4WAK,,
SAN DIEGO,WYE,0;1;100027;0005,same_as_control_cluster,0;1;100027;0005,same_as_control_cluster,0;1;100027;0005,same_as_control_cluster,0;1;100027;0005,blank,,1,0,1,100463:WCAK,2WCAK,,
